"",BBK01.CEB0I0,BBK01.CEB0I0_FLAGS
"",Liabilities debtor: Households and non-profit institutions serving households                    ceditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:15,
1991-01,767.5,
1991-04,781.5,
1991-07,800.2,
1991-10,829.4,
1992-01,840.4,
1992-04,859.9,
1992-07,877.6,
1992-10,896.9,
1993-01,908.7,
1993-04,927.7,
1993-07,950.1,
1993-10,985.2,
1994-01,999.8,
1994-04,1021.3,
1994-07,1045.3,
1994-10,1080.6,
1995-01,1085.9,
1995-04,1105.7,
1995-07,1125.6,
1995-10,1155.4,
1996-01,1164.4,
1996-04,1181.4,
1996-07,1201.3,
1996-10,1233.6,
1997-01,1239.7,
1997-04,1258.7,
1997-07,1276.2,
1997-10,1296.1,
1998-01,1301.5,
1998-04,1319.4,
1998-07,1335.9,
1998-10,1371.2,
1999-01,1393.7,
1999-04,1427.0,
1999-07,1446.2,
1999-10,1468.1,
2000-01,1473.7,
2000-04,1491.8,
2000-07,1503.5,
2000-10,1514.3,
2001-01,1515.2,
2001-04,1520.7,
2001-07,1532.0,
2001-10,1535.9,
2002-01,1532.9,
2002-04,1537.3,
2002-07,1545.2,
2002-10,1552.6,
2003-01,1550.3,
2003-04,1556.9,
2003-07,1565.9,
2003-10,1569.0,
2004-01,1559.5,
2004-04,1564.7,
2004-07,1572.7,
2004-10,1574.5,
2005-01,1562.0,
2005-04,1566.3,
2005-07,1570.5,
2005-10,1568.6,
2006-01,1568.8,
2006-04,1569.5,
2006-07,1574.1,
2006-10,1567.3,
2007-01,1559.8,
2007-04,1557.8,
2007-07,1554.6,
2007-10,1546.9,
2008-01,1537.3,
2008-04,1537.9,
2008-07,1537.0,
2008-10,1532.3,
2009-01,1525.3,
2009-04,1529.5,
2009-07,1533.1,
2009-10,1529.7,
2010-01,1525.1,
2010-04,1530.3,
2010-07,1535.6,
2010-10,1534.8,
2011-01,1532.7,
2011-04,1537.0,
2011-07,1548.6,
2011-10,1552.0,
2012-01,1552.0,
2012-04,1558.1,
2012-07,1564.1,
2012-10,1567.9,
2013-01,1566.1,
2013-04,1570.8,
2013-07,1579.0,
2013-10,1579.2,
2014-01,1581.1,
