"",BBK01.OEXK01N,BBK01.OEXK01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:59,
2002-01,3.283,
2002-04,3.395,
2002-07,3.385,
2002-10,3.640,
2003-01,3.656,
2003-04,3.590,
2003-07,3.715,
2003-10,3.911,
2004-01,3.745,
2004-04,3.642,
2004-07,3.825,
2004-10,2.357,
2005-01,2.664,
2005-04,3.306,
2005-07,2.819,
2005-10,2.832,
2006-01,3.074,
2006-04,3.323,
2006-07,3.244,
2006-10,3.318,
2007-01,3.371,
2007-04,3.485,
2007-07,3.655,
2007-10,3.865,
2008-01,3.867,
2008-04,3.977,
2008-07,4.011,
2008-10,3.703,
2009-01,3.602,
2009-04,3.615,
2009-07,3.569,
2009-10,3.713,
2010-01,3.829,
2010-04,3.942,
2010-07,4.035,
2010-10,4.108,
2011-01,4.194,
2011-04,4.329,
2011-07,4.722,
2011-10,4.645,
2012-01,4.593,
2012-04,4.622,
2012-07,4.734,
2012-10,4.808,
2013-01,4.793,
2013-04,5.102,
2013-07,5.338,
2013-10,5.748,
2014-01,5.782,
2014-04,5.375,
2014-07,5.587,
