"",BBK01.OEBO06J,BBK01.OEBO06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:19,
2002-01,0.812,
2002-04,0.699,
2002-07,0.683,
2002-10,0.691,
2003-01,0.678,
2003-04,0.664,
2003-07,0.670,
2003-10,0.656,
2004-01,0.616,
2004-04,0.591,
2004-07,0.621,
2004-10,0.627,
2005-01,0.926,
2005-04,0.924,
2005-07,0.902,
2005-10,0.894,
2006-01,0.889,
2006-04,0.887,
2006-07,0.873,
2006-10,0.888,
2007-01,0.933,
2007-04,0.945,
2007-07,0.949,
2007-10,0.977,
2008-01,0.984,
2008-04,0.981,
2008-07,0.963,
2008-10,1.076,
2009-01,1.109,
2009-04,1.142,
2009-07,1.276,
2009-10,1.211,
2010-01,1.176,
2010-04,1.166,
2010-07,1.156,
2010-10,1.210,
2011-01,1.257,
2011-04,1.236,
2011-07,1.221,
2011-10,1.218,
2012-01,1.264,
2012-04,1.229,
2012-07,1.191,
2012-10,1.164,
2013-01,1.061,
2013-04,1.026,
2013-07,0.998,
2013-10,0.999,
2014-01,0.979,
2014-04,0.958,
2014-07,0.985,
