"",BBK01.OEBM04G,BBK01.OEBM04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:35,
2002-01,1.116,
2002-04,1.922,
2002-07,1.826,
2002-10,1.684,
2003-01,1.338,
2003-04,1.610,
2003-07,1.247,
2003-10,1.326,
2004-01,0.989,
2004-04,1.519,
2004-07,1.554,
2004-10,0.985,
2005-01,1.092,
2005-04,0.679,
2005-07,0.832,
2005-10,0.751,
2006-01,0.528,
2006-04,0.559,
2006-07,0.329,
2006-10,0.461,
2007-01,0.683,
2007-04,1.147,
2007-07,0.946,
2007-10,0.686,
2008-01,0.620,
2008-04,0.911,
2008-07,0.967,
2008-10,0.985,
2009-01,0.807,
2009-04,1.044,
2009-07,0.834,
2009-10,0.600,
2010-01,0.536,
2010-04,0.640,
2010-07,0.897,
2010-10,0.539,
2011-01,0.476,
2011-04,0.694,
2011-07,0.810,
2011-10,0.914,
2012-01,1.293,
2012-04,1.909,
2012-07,1.907,
2012-10,2.029,
2013-01,1.868,
2013-04,2.015,
2013-07,1.829,
2013-10,1.832,
2014-01,1.798,
2014-04,1.705,
2014-07,2.068,
