"",BBK01.OEHL02N,BBK01.OEHL02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:36,
2002-01,24.116,
2002-04,24.498,
2002-07,23.628,
2002-10,24.761,
2003-01,25.594,
2003-04,26.359,
2003-07,26.140,
2003-10,26.625,
2004-01,27.330,
2004-04,27.403,
2004-07,26.882,
2004-10,27.284,
2005-01,27.426,
2005-04,27.737,
2005-07,28.240,
2005-10,28.681,
2006-01,28.525,
2006-04,28.475,
2006-07,27.983,
2006-10,28.348,
2007-01,28.138,
2007-04,28.573,
2007-07,28.299,
2007-10,29.407,
2008-01,28.871,
2008-04,28.954,
2008-07,28.381,
2008-10,30.168,
2009-01,33.176,
2009-04,35.758,
2009-07,36.861,
2009-10,38.526,
2010-01,39.542,
2010-04,40.801,
2010-07,40.758,
2010-10,41.559,
2011-01,41.245,
2011-04,41.340,
2011-07,41.243,
2011-10,42.222,
2012-01,42.947,
2012-04,44.451,
2012-07,45.901,
2012-10,47.283,
2013-01,48.675,
2013-04,50.217,
2013-07,50.360,
2013-10,52.084,
2014-01,52.755,
2014-04,53.650,
2014-07,54.388,
