"",BBK01.OEAH66O,BBK01.OEAH66O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:11,
2002-01,1.806,
2002-04,1.871,
2002-07,2.022,
2002-10,2.361,
2003-01,2.281,
2003-04,2.273,
2003-07,2.276,
2003-10,2.329,
2004-01,2.433,
2004-04,2.542,
2004-07,2.659,
2004-10,2.722,
2005-01,2.675,
2005-04,2.650,
2005-07,2.586,
2005-10,2.567,
2006-01,2.538,
2006-04,2.523,
2006-07,2.518,
2006-10,2.509,
2007-01,2.439,
2007-04,2.386,
2007-07,2.323,
2007-10,2.268,
2008-01,2.188,
2008-04,2.111,
2008-07,2.128,
2008-10,1.649,
2009-01,2.251,
2009-04,2.354,
2009-07,2.591,
2009-10,2.864,
2010-01,3.165,
2010-04,3.258,
2010-07,3.289,
2010-10,3.316,
2011-01,3.435,
2011-04,3.570,
2011-07,3.628,
2011-10,3.661,
2012-01,3.615,
2012-04,3.628,
2012-07,3.569,
2012-10,3.542,
2013-01,3.516,
2013-04,3.493,
2013-07,3.386,
2013-10,3.334,
2014-01,3.205,
2014-04,3.149,
2014-07,3.021,
