"",BBK01.OEYB16N,BBK01.OEYB16N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:31,
2002-01,6.399,
2002-04,6.400,
2002-07,6.456,
2002-10,6.777,
2003-01,5.510,
2003-04,4.460,
2003-07,4.401,
2003-10,2.841,
2004-01,2.760,
2004-04,2.714,
2004-07,2.675,
2004-10,2.632,
2005-01,2.585,
2005-04,2.546,
2005-07,2.491,
2005-10,2.455,
2006-01,4.340,
2006-04,4.323,
2006-07,4.317,
2006-10,4.292,
2007-01,4.269,
2007-04,4.314,
2007-07,4.320,
2007-10,4.346,
2008-01,4.384,
2008-04,4.372,
2008-07,4.414,
2008-10,4.413,
2009-01,4.360,
2009-04,4.366,
2009-07,4.379,
2009-10,4.386,
2010-01,4.363,
2010-04,4.547,
2010-07,4.562,
2010-10,4.587,
2011-01,4.627,
2011-04,4.628,
2011-07,4.700,
2011-10,4.682,
2012-01,4.682,
2012-04,4.691,
2012-07,4.671,
2012-10,4.698,
2013-01,4.694,
2013-04,4.734,
2013-07,4.838,
2013-10,4.854,
2014-01,5.113,
2014-04,5.122,
2014-07,5.148,
