"",BBK01.OEYB02Q,BBK01.OEYB02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:04,
2002-01,2.956,
2002-04,2.676,
2002-07,2.935,
2002-10,4.128,
2003-01,3.981,
2003-04,4.503,
2003-07,5.483,
2003-10,5.743,
2004-01,5.221,
2004-04,4.090,
2004-07,3.535,
2004-10,3.800,
2005-01,4.136,
2005-04,5.880,
2005-07,7.048,
2005-10,4.978,
2006-01,9.377,
2006-04,9.280,
2006-07,7.908,
2006-10,4.748,
2007-01,9.862,
2007-04,6.483,
2007-07,4.493,
2007-10,7.918,
2008-01,7.804,
2008-04,8.739,
2008-07,7.258,
2008-10,6.155,
2009-01,5.900,
2009-04,7.103,
2009-07,6.569,
2009-10,7.309,
2010-01,5.680,
2010-04,7.864,
2010-07,5.931,
2010-10,7.044,
2011-01,7.540,
2011-04,4.878,
2011-07,4.951,
2011-10,4.738,
2012-01,7.181,
2012-04,7.947,
2012-07,10.663,
2012-10,5.001,
2013-01,3.647,
2013-04,3.339,
2013-07,3.360,
2013-10,4.097,
2014-01,3.643,
2014-04,3.767,
2014-07,4.031,
