"",BBDA1.M.DE.Y.IM.S.A.B0.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.B0.A.V.ABA.A_FLAGS
"","Germany / Imports / At current prices, flows / Aggregate / all goods / EU28 (fixed composition) excluding Germany / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:30,
1993-01,14.93,
1993-02,15.13,
1993-03,14.17,
1993-04,14.83,
1993-05,14.51,
1993-06,14.10,
1993-07,14.42,
1993-08,15.08,
1993-09,14.94,
1993-10,14.37,
1993-11,15.42,
1993-12,15.01,
1994-01,14.48,
1994-02,14.97,
1994-03,15.89,
1994-04,15.63,
1994-05,16.46,
1994-06,15.87,
1994-07,16.05,
1994-08,16.21,
1994-09,16.99,
1994-10,16.50,
1994-11,16.76,
1994-12,17.42,
1995-01,17.21,
1995-02,17.68,
1995-03,18.49,
1995-04,17.41,
1995-05,17.53,
1995-06,18.46,
1995-07,17.88,
1995-08,17.21,
1995-09,18.71,
1995-10,17.71,
1995-11,17.27,
1995-12,18.13,
1996-01,19.88,
1996-02,17.39,
1996-03,18.17,
1996-04,18.41,
1996-05,17.42,
1996-06,18.17,
1996-07,18.49,
1996-08,17.92,
1996-09,18.32,
1996-10,19.38,
1996-11,18.76,
1996-12,19.63,
1997-01,19.46,
1997-02,20.11,
1997-03,19.78,
1997-04,18.48,
1997-05,20.51,
1997-06,20.45,
1997-07,21.40,
1997-08,20.97,
1997-09,20.53,
1997-10,21.59,
1997-11,21.26,
1997-12,20.96,
1998-01,23.64,
1998-02,21.85,
1998-03,21.04,
1998-04,23.58,
1998-05,20.69,
1998-06,22.68,
1998-07,23.00,
1998-08,22.28,
1998-09,21.10,
1998-10,22.01,
1998-11,20.96,
1998-12,22.11,
1999-01,21.84,
1999-02,21.89,
1999-03,22.10,
1999-04,22.05,
1999-05,24.05,
1999-06,23.06,
1999-07,23.19,
1999-08,25.06,
1999-09,23.13,
1999-10,23.19,
1999-11,24.35,
1999-12,23.12,
2000-01,25.13,
2000-02,23.96,
2000-03,25.90,
2000-04,24.45,
2000-05,27.18,
2000-06,25.32,
2000-07,26.60,
2000-08,28.23,
2000-09,27.03,
2000-10,28.50,
2000-11,29.10,
2000-12,29.02,
2001-01,28.02,
2001-02,27.86,
2001-03,26.49,
2001-04,28.74,
2001-05,27.73,
2001-06,28.32,
2001-07,27.73,
2001-08,27.68,
2001-09,27.68,
2001-10,27.57,
2001-11,26.92,
2001-12,25.79,
2002-01,25.03,
2002-02,26.71,
2002-03,25.50,
2002-04,26.68,
2002-05,24.68,
2002-06,28.07,
2002-07,26.18,
2002-08,27.48,
2002-09,27.78,
2002-10,26.95,
2002-11,26.97,
2002-12,27.63,
2003-01,27.37,
2003-02,27.50,
2003-03,27.95,
2003-04,27.18,
2003-05,26.88,
2003-06,27.24,
2003-07,27.06,
2003-08,26.49,
2003-09,27.49,
2003-10,27.36,
2003-11,28.62,
2003-12,27.50,
2004-01,28.11,
2004-02,28.62,
2004-03,28.27,
2004-04,28.17,
2004-05,28.76,
2004-06,27.89,
