"",BBFN1.M.DE.N.1.A.RU.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RU.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Russian Federation,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:13,
1994-07,1.066,
1994-08,1.224,
1994-09,1.267,
1994-10,1.234,
1994-11,1.232,
1994-12,1.215,
1995-01,1.176,
1995-02,1.147,
1995-03,1.159,
1995-04,1.178,
1995-05,1.180,
1995-06,1.222,
1995-07,1.221,
1995-08,1.189,
1995-09,1.238,
1995-10,1.204,
1995-11,1.290,
1995-12,1.237,
1996-01,1.215,
1996-02,1.215,
1996-03,1.229,
1996-04,1.246,
1996-05,1.310,
1996-06,1.345,
1996-07,1.346,
1996-08,1.344,
1996-09,1.488,
1996-10,1.467,
1996-11,1.560,
1996-12,1.488,
1997-01,1.590,
1997-02,1.604,
1997-03,1.656,
1997-04,1.571,
1997-05,1.619,
1997-06,1.648,
1997-07,1.692,
1997-08,1.705,
1997-09,1.662,
1997-10,1.768,
1997-11,1.811,
1997-12,1.861,
1998-01,1.824,
1998-02,1.975,
1998-03,1.947,
1998-04,2.002,
1998-05,1.996,
1998-06,1.964,
1998-07,2.031,
1998-08,2.055,
1998-09,2.052,
1998-10,2.032,
1998-11,1.987,
1998-12,1.862,
1999-01,1.776,
1999-02,1.761,
1999-03,1.772,
1999-04,1.594,
1999-05,1.640,
1999-06,1.551,
1999-07,1.540,
1999-08,1.536,
1999-09,1.488,
1999-10,1.488,
1999-11,1.575,
1999-12,1.470,
2000-01,1.456,
2000-02,1.471,
2000-03,1.449,
2000-04,1.488,
2000-05,1.473,
2000-06,1.480,
2000-07,1.508,
2000-08,1.544,
2000-09,1.473,
2000-10,1.525,
2000-11,1.542,
2000-12,1.492,
2001-01,1.481,
2001-02,1.511,
2001-03,1.549,
2001-04,1.587,
2001-05,1.579,
2001-06,1.733,
2001-07,1.616,
2001-08,1.763,
2001-09,1.889,
2001-10,1.937,
2001-11,1.901,
2001-12,1.912,
2002-01,1.698,
2002-02,1.778,
2002-03,1.813,
2002-04,1.884,
2002-05,1.862,
2002-06,1.798,
2002-07,1.848,
2002-08,1.784,
2002-09,1.846,
2002-10,1.846,
2002-11,1.963,
2002-12,1.786,
2003-01,1.729,
2003-02,1.850,
2003-03,1.793,
2003-04,1.820,
2003-05,1.818,
2003-06,1.787,
2003-07,1.741,
2003-08,1.819,
2003-09,1.823,
2003-10,1.803,
2003-11,1.859,
2003-12,1.792,
2004-01,1.734,
2004-02,1.695,
2004-03,1.848,
2004-04,1.866,
2004-05,1.914,
2004-06,2.052,
2004-07,2.031,
2004-08,2.027,
2004-09,2.052,
2004-10,2.090,
2004-11,2.189,
2004-12,1.990,
2005-01,2.075,
2005-02,2.171,
2005-03,2.357,
2005-04,2.312,
2005-05,2.361,
2005-06,2.496,
2005-07,2.485,
2005-08,2.456,
2005-09,2.465,
2005-10,2.520,
2005-11,2.530,
2005-12,2.318,
2006-01,2.342,
2006-02,2.551,
2006-03,2.643,
2006-04,2.751,
2006-05,2.783,
2006-06,2.915,
2006-07,2.928,
2006-08,2.892,
2006-09,3.005,
2006-10,3.112,
2006-11,3.218,
2006-12,2.959,
2007-01,3.096,
2007-02,3.298,
2007-03,3.443,
2007-04,3.647,
2007-05,3.797,
2007-06,4.089,
2007-07,4.202,
2007-08,4.132,
2007-09,4.255,
2007-10,4.397,
2007-11,4.343,
2007-12,3.809,
2008-01,3.809,
2008-02,4.043,
2008-03,4.284,
2008-04,4.821,
2008-05,4.963,
2008-06,5.326,
2008-07,5.208,
2008-08,5.378,
2008-09,5.493,
2008-10,5.779,
2008-11,5.970,
2008-12,5.253,
2009-01,4.990,
2009-02,4.663,
2009-03,4.480,
2009-04,4.351,
2009-05,4.378,
2009-06,4.375,
2009-07,4.287,
2009-08,4.127,
2009-09,4.055,
2009-10,4.021,
2009-11,3.998,
2009-12,3.654,
2010-01,3.668,
2010-02,3.831,
2010-03,3.982,
2010-04,4.052,
2010-05,4.241,
2010-06,4.471,
2010-07,4.436,
2010-08,4.583,
2010-09,4.456,
2010-10,4.488,
2010-11,4.529,
2010-12,3.854,
2011-01,3.983,
2011-02,4.154,
2011-03,4.588,
2011-04,4.434,
2011-05,4.691,
2011-06,4.596,
2011-07,4.885,
2011-08,4.733,
2011-09,4.919,
2011-10,5.011,
2011-11,5.370,
2011-12,4.926,
2012-01,5.013,
2012-02,4.958,
2012-03,5.358,
2012-04,5.002,
2012-05,5.031,
2012-06,6.756,
2012-07,6.633,
2012-08,5.010,
2012-09,5.023,
2012-10,5.110,
2012-11,5.379,
2012-12,4.701,
2013-01,5.145,
2013-02,5.047,
2013-03,5.021,
2013-04,5.264,
2013-05,5.170,
2013-06,5.293,
2013-07,5.033,
2013-08,5.276,
2013-09,5.334,
2013-10,5.446,
2013-11,5.742,
2013-12,4.720,
2014-01,5.036,
2014-02,5.159,
2014-03,5.199,
2014-04,5.200,
2014-05,5.310,
2014-06,5.308,
2014-07,5.166,
2014-08,5.180,
2014-09,5.177,
2014-10,4.982,
2014-11,4.917,
2014-12,4.152,
