"",BBSF2.M.1.T.00000.DAK01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAK01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:12,
2009-09,43,
2009-10,30,
2009-11,60,
2009-12,87,
2010-01,37,
2010-02,14,
2010-03,17,
2010-04,23,
2010-05,23,
2010-06,16,
2010-07,17,
2010-08,149,
2010-09,13,
2010-10,13,
2010-11,14,
2010-12,17,
2011-01,14,
2011-02,13,
2011-03,24,
2011-04,11,
2011-05,10,
2011-06,9,
2011-07,11,
2011-08,13,
2011-09,12,
2011-10,13,
2011-11,11,
2011-12,11,
2012-01,12,
2012-02,11,
2012-03,32,
2012-04,32,
2012-05,21,
2012-06,19,
2012-07,44,
2012-08,29,
2012-09,39,
2012-10,22,
2012-11,22,
2012-12,33,
2013-01,20,
2013-02,21,
2013-03,17,
2013-04,18,
2013-05,37,
2013-06,24,
2013-07,34,
2013-08,24,
2013-09,21,
2013-10,48,
2013-11,25,
2013-12,32,
2014-01,18,
2014-02,20,
2014-03,32,
2014-04,17,
2014-05,17,
2014-06,18,
2014-07,20,
2014-08,17,
2014-09,18,
2014-10,22,
2014-11,18,
