"",BBK01.OEAB05H,BBK01.OEAB05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:32,
2002-01,500.764,
2002-04,497.792,
2002-07,497.819,
2002-10,494.460,
2003-01,486.227,
2003-04,482.334,
2003-07,479.422,
2003-10,487.053,
2004-01,479.265,
2004-04,473.052,
2004-07,471.248,
2004-10,460.595,
2005-01,458.480,
2005-04,457.133,
2005-07,456.515,
2005-10,447.450,
2006-01,456.879,
2006-04,447.610,
2006-07,452.701,
2006-10,439.979,
2007-01,442.584,
2007-04,435.443,
2007-07,439.374,
2007-10,425.192,
2008-01,434.445,
2008-04,439.868,
2008-07,438.796,
2008-10,415.099,
2009-01,419.848,
2009-04,390.178,
2009-07,395.920,
2009-10,387.342,
2010-01,385.913,
2010-04,387.123,
2010-07,389.365,
2010-10,449.899,
2011-01,424.890,
2011-04,412.774,
2011-07,410.612,
2011-10,407.933,
2012-01,411.340,
2012-04,411.177,
2012-07,417.957,
2012-10,413.206,
2013-01,418.379,
2013-04,420.249,
2013-07,408.126,
2013-10,408.378,
2014-01,406.363,
2014-04,407.917,
2014-07,413.347,
