"",BBAI3.Q.DE.N.V.LE.F7.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:54,
2005-10,27,
2006-01,26,
2006-04,27,
2006-07,28,
2006-10,29,
2007-01,29,
2007-04,29,
2007-07,29,
2007-10,29,
2008-01,30,
2008-04,30,
2008-07,31,
2008-10,33,
2009-01,32,
2009-04,33,
2009-07,34,
2009-10,35,
2010-01,35,
2010-04,35,
2010-07,36,
2010-10,38,
2011-01,37,
2011-04,37,
2011-07,37,
2011-10,36,
2012-01,35,
2012-04,35,
2012-07,35,
2012-10,35,
2013-01,35,
2013-04,34,
2013-07,34,
2013-10,33,
2014-01,31,
2014-04,31,
2014-07,32,
