"",BBK01.OEAC11S,BBK01.OEAC11S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:45,
2002-01,6.245,
2002-04,6.224,
2002-07,6.099,
2002-10,6.063,
2003-01,5.991,
2003-04,5.980,
2003-07,6.385,
2003-10,6.368,
2004-01,6.075,
2004-04,6.115,
2004-07,6.260,
2004-10,4.829,
2005-01,4.858,
2005-04,4.854,
2005-07,4.827,
2005-10,4.829,
2006-01,4.813,
2006-04,4.803,
2006-07,4.834,
2006-10,4.828,
2007-01,4.849,
2007-04,4.808,
2007-07,4.920,
2007-10,4.491,
2008-01,4.483,
2008-04,4.513,
2008-07,4.523,
2008-10,4.527,
2009-01,4.498,
2009-04,4.647,
2009-07,4.629,
2009-10,4.514,
2010-01,4.725,
2010-04,4.730,
2010-07,4.852,
2010-10,5.027,
2011-01,5.060,
2011-04,5.097,
2011-07,5.128,
2011-10,5.179,
2012-01,5.177,
2012-04,5.363,
2012-07,5.472,
2012-10,5.533,
2013-01,5.556,
2013-04,5.597,
2013-07,5.654,
2013-10,5.719,
2014-01,5.692,
2014-04,5.706,
2014-07,5.718,
