"",BBK01.CEFB0J,BBK01.CEFB0J_FLAGS
"",long-term debt securities  debtor: Total                              creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:09,
1999-01,219.9,
1999-04,215.9,
1999-07,206.1,
1999-10,200.8,
2000-01,194.8,
2000-04,192.7,
2000-07,202.4,
2000-10,199.3,
2001-01,182.8,
2001-04,186.8,
2001-07,175.6,
2001-10,219.4,
2002-01,203.2,
2002-04,206.2,
2002-07,219.3,
2002-10,236.8,
2003-01,246.0,
2003-04,260.7,
2003-07,259.7,
2003-10,255.3,
2004-01,275.3,
2004-04,281.2,
2004-07,291.9,
2004-10,291.9,
2005-01,292.8,
2005-04,292.5,
2005-07,304.3,
2005-10,290.7,
2006-01,213.9,
2006-04,223.1,
2006-07,232.8,
2006-10,238.9,
2007-01,254.7,
2007-04,266.5,
2007-07,273.0,
2007-10,262.9,
2008-01,250.0,
2008-04,250.9,
2008-07,245.4,
2008-10,230.5,
2009-01,221.4,
2009-04,222.5,
2009-07,229.4,
2009-10,227.7,
2010-01,226.6,
2010-04,221.0,
2010-07,220.4,
2010-10,215.7,
2011-01,215.5,
2011-04,218.2,
2011-07,209.1,
2011-10,208.0,
2012-01,209.5,
2012-04,204.9,
2012-07,203.4,
2012-10,197.0,
2013-01,190.0,
2013-04,181.0,
2013-07,179.2,
2013-10,176.3,
2014-01,174.9,
2014-04,173.6,
2014-07,166.5,
