"",BBK01.OELK06L,BBK01.OELK06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:44,
2002-01,0.125,
2002-04,0.125,
2002-07,0.121,
2002-10,0.112,
2003-01,0.105,
2003-04,0.098,
2003-07,0.091,
2003-10,0.090,
2004-01,0.086,
2004-04,0.083,
2004-07,0.082,
2004-10,0.081,
2005-01,0.078,
2005-04,0.077,
2005-07,0.074,
2005-10,0.072,
2006-01,0.075,
2006-04,0.078,
2006-07,0.082,
2006-10,0.090,
2007-01,0.108,
2007-04,0.121,
2007-07,0.138,
2007-10,0.154,
2008-01,0.156,
2008-04,0.163,
2008-07,0.171,
2008-10,0.178,
2009-01,0.158,
2009-04,0.138,
2009-07,0.114,
2009-10,0.091,
2010-01,0.083,
2010-04,0.079,
2010-07,0.076,
2010-10,0.077,
2011-01,0.078,
2011-04,0.085,
2011-07,0.087,
2011-10,0.092,
2012-01,0.095,
2012-04,0.093,
2012-07,0.087,
2012-10,0.082,
2013-01,0.075,
2013-04,0.070,
2013-07,0.067,
2013-10,0.068,
2014-01,0.064,
2014-04,0.063,
2014-07,0.066,
