"",BBK01.OELL02O,BBK01.OELL02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:48,
2002-01,5.320,
2002-04,5.418,
2002-07,5.283,
2002-10,5.560,
2003-01,5.665,
2003-04,5.797,
2003-07,5.837,
2003-10,6.027,
2004-01,6.163,
2004-04,6.371,
2004-07,6.304,
2004-10,6.548,
2005-01,6.750,
2005-04,6.994,
2005-07,7.000,
2005-10,7.147,
2006-01,7.091,
2006-04,7.193,
2006-07,7.042,
2006-10,7.010,
2007-01,6.983,
2007-04,7.181,
2007-07,7.069,
2007-10,6.957,
2008-01,6.817,
2008-04,6.804,
2008-07,6.596,
2008-10,6.982,
2009-01,7.506,
2009-04,8.177,
2009-07,8.571,
2009-10,9.150,
2010-01,9.454,
2010-04,9.747,
2010-07,9.846,
2010-10,10.195,
2011-01,10.145,
2011-04,10.233,
2011-07,10.182,
2011-10,10.464,
2012-01,10.496,
2012-04,10.769,
2012-07,11.104,
2012-10,11.731,
2013-01,12.039,
2013-04,12.428,
2013-07,12.585,
2013-10,13.073,
2014-01,13.499,
2014-04,13.826,
2014-07,14.018,
