"",BBK01.OEAA03V,BBK01.OEAA03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:03,
2002-01,6.606,
2002-04,7.299,
2002-07,6.957,
2002-10,7.682,
2003-01,6.667,
2003-04,6.552,
2003-07,6.493,
2003-10,6.591,
2004-01,6.269,
2004-04,5.866,
2004-07,5.680,
2004-10,5.478,
2005-01,5.365,
2005-04,5.212,
2005-07,5.205,
2005-10,6.149,
2006-01,6.623,
2006-04,6.505,
2006-07,6.620,
2006-10,6.590,
2007-01,6.564,
2007-04,6.546,
2007-07,13.191,
2007-10,10.318,
2008-01,9.845,
2008-04,3.909,
2008-07,4.066,
2008-10,3.957,
2009-01,3.784,
2009-04,3.858,
2009-07,3.712,
2009-10,3.667,
2010-01,3.559,
2010-04,4.486,
2010-07,4.080,
2010-10,3.763,
2011-01,3.663,
2011-04,3.708,
2011-07,4.152,
2011-10,4.059,
2012-01,3.851,
2012-04,3.891,
2012-07,3.793,
2012-10,3.569,
2013-01,3.605,
2013-04,3.261,
2013-07,3.576,
2013-10,3.331,
2014-01,3.357,
2014-04,3.592,
2014-07,3.615,
