"",BBK01.XU8856,BBK01.XU8856_FLAGS
"",Germany / Exports / Product Classification for Production Statistics from 2002 / vehicles / 1 / 2 /,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:44,
1995-01,4571781,
1995-02,4725401,
1995-03,5485647,
1995-04,4924429,
1995-05,5344077,
1995-06,5065307,
1995-07,4122935,
1995-08,3468885,
1995-09,4840894,
1995-10,5084825,
1995-11,5456614,
1995-12,4835706,
1996-01,4941058,
1996-02,5340982,
1996-03,5838393,
1996-04,5590475,
1996-05,5374378,
1996-06,5122920,
1996-07,5357511,
1996-08,4300533,
1996-09,5379021,
1996-10,6402679,
1996-11,6318913,
1996-12,5170301,
1997-01,5573901,
1997-02,5981077,
1997-03,6243736,
1997-04,6742577,
1997-05,6025867,
1997-06,6746700,
1997-07,6816092,
1997-08,4589199,
1997-09,6716963,
1997-10,7324790,
1997-11,6550555,
1997-12,6822823,
1998-01,5942937,
1998-02,7343453,
1998-03,7791740,
1998-04,7491934,
1998-05,7284283,
1998-06,7645795,
1998-07,7726022,
1998-08,5211697,
1998-09,7177239,
1998-10,8308069,
1998-11,8287813,
1998-12,7104011,
1999-01,6581770,
1999-02,6910348,
1999-03,8830574,
1999-04,8086649,
1999-05,7535451,
1999-06,8377926,
1999-07,7464822,
1999-08,6313154,
1999-09,7872842,
1999-10,8203090,
1999-11,9130348,
1999-12,7450067,
2000-01,7006292,
2000-02,9083286,
2000-03,10097139,
2000-04,8400713,
2000-05,9838588,
2000-06,8663574,
2000-07,8880125,
2000-08,7409545,
2000-09,8461745,
2000-10,10038510,
2000-11,10351770,
2000-12,8438690,
2001-01,9701304,
2001-02,9875714,
2001-03,10807410,
2001-04,9558079,
2001-05,10286275,
2001-06,10018426,
2001-07,9888949,
2001-08,8578799,
2001-09,9466731,
2001-10,10932853,
2001-11,10649518,
2001-12,8513029,
2002-01,9975330,
2002-02,10002345,
2002-03,10513139,
2002-04,10995283,
2002-05,9763955,
2002-06,11187143,
2002-07,10799297,
2002-08,9946856,
2002-09,11399313,
2002-10,12103787,
2002-11,11824283,
2002-12,9374947,
2003-01,10402324,
2003-02,10975379,
2003-03,11550885,
2003-04,10737058,
2003-05,10710216,
2003-06,10370274,
2003-07,11312460,
2003-08,8100820,
2003-09,11645987,
2003-10,12226459,
2003-11,12105464,
2003-12,10675601,
2004-01,9843586,
2004-02,11240215,
2004-03,13370012,
2004-04,12255642,
2004-05,11586629,
2004-06,12276645,
2004-07,11857589,
2004-08,9212053,
2004-09,11721795,
2004-10,12060039,
2004-11,12331254,
2004-12,10278271,
2005-01,11102633,
2005-02,11627298,
2005-03,13131792,
2005-04,13376602,
2005-05,12127957,
2005-06,14121294,
2005-07,12913084,
2005-08,10743374,
2005-09,14294343,
2005-10,13567876,
2005-11,14617500,
2005-12,12499718,
2006-01,12607524,
2006-02,13658129,
2006-03,15463778,
2006-04,12821160,
2006-05,14665517,
2006-06,14117401,
2006-07,13777985,
2006-08,11183355,
2006-09,14887869,
2006-10,15208931,
2006-11,15358924,
2006-12,12720959,
2007-01,14663205,
2007-02,15081830,
2007-03,16622653,
2007-04,14592352,
2007-05,15456777,
2007-06,16054461,
2007-07,16220814,
2007-08,12854206,
2007-09,15749054,
2007-10,17411638,
2007-11,16531518,
2007-12,12884685,
"","General: 1 motor vehicles, trailers and semi-trailers. 2 Source: Federal Statistical Office.",
