"",BBK01.OELL06L,BBK01.OELL06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:14,
2002-01,2.645,
2002-04,2.612,
2002-07,2.605,
2002-10,2.527,
2003-01,2.416,
2003-04,2.334,
2003-07,2.231,
2003-10,2.172,
2004-01,2.074,
2004-04,2.011,
2004-07,1.991,
2004-10,1.942,
2005-01,1.841,
2005-04,1.793,
2005-07,1.700,
2005-10,1.659,
2006-01,1.704,
2006-04,1.755,
2006-07,1.846,
2006-10,1.931,
2007-01,2.095,
2007-04,2.236,
2007-07,2.442,
2007-10,2.760,
2008-01,2.900,
2008-04,2.958,
2008-07,3.055,
2008-10,3.128,
2009-01,2.673,
2009-04,2.368,
2009-07,2.107,
2009-10,1.758,
2010-01,1.533,
2010-04,1.448,
2010-07,1.417,
2010-10,1.400,
2011-01,1.388,
2011-04,1.436,
2011-07,1.395,
2011-10,1.416,
2012-01,1.510,
2012-04,1.485,
2012-07,1.456,
2012-10,1.414,
2013-01,1.363,
2013-04,1.303,
2013-07,1.249,
2013-10,1.235,
2014-01,1.171,
2014-04,1.176,
2014-07,1.166,
