"",BBK01.OEAH41N,BBK01.OEAH41N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:26,
2002-01,0.243,
2002-04,0.226,
2002-07,0.241,
2002-10,0.230,
2003-01,0.181,
2003-04,0.194,
2003-07,0.196,
2003-10,0.202,
2004-01,0.192,
2004-04,0.199,
2004-07,0.223,
2004-10,0.241,
2005-01,0.233,
2005-04,0.173,
2005-07,0.178,
2005-10,0.177,
2006-01,0.176,
2006-04,0.188,
2006-07,0.197,
2006-10,0.208,
2007-01,0.210,
2007-04,0.209,
2007-07,0.192,
2007-10,0.168,
2008-01,0.175,
2008-04,0.173,
2008-07,0.146,
2008-10,0.128,
2009-01,0.182,
2009-04,0.272,
2009-07,0.309,
2009-10,0.394,
2010-01,0.378,
2010-04,0.333,
2010-07,0.327,
2010-10,0.253,
2011-01,0.279,
2011-04,0.287,
2011-07,0.269,
2011-10,0.197,
2012-01,0.206,
2012-04,0.206,
2012-07,0.202,
2012-10,0.193,
2013-01,0.211,
2013-04,0.244,
2013-07,0.251,
2013-10,0.276,
2014-01,0.304,
2014-04,0.340,
2014-07,0.343,
