"",BBK01.OELB16M,BBK01.OELB16M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:11,
2002-01,6.440,
2002-04,6.512,
2002-07,6.566,
2002-10,6.638,
2003-01,6.605,
2003-04,6.674,
2003-07,6.741,
2003-10,6.779,
2004-01,6.774,
2004-04,6.804,
2004-07,6.802,
2004-10,6.899,
2005-01,6.887,
2005-04,6.928,
2005-07,6.979,
2005-10,7.065,
2006-01,7.077,
2006-04,7.162,
2006-07,7.221,
2006-10,7.287,
2007-01,7.311,
2007-04,7.414,
2007-07,7.461,
2007-10,7.484,
2008-01,7.482,
2008-04,7.543,
2008-07,7.645,
2008-10,7.684,
2009-01,7.682,
2009-04,7.801,
2009-07,7.939,
2009-10,8.102,
2010-01,8.133,
2010-04,8.463,
2010-07,8.680,
2010-10,8.804,
2011-01,8.846,
2011-04,8.989,
2011-07,9.261,
2011-10,10.075,
2012-01,10.143,
2012-04,11.770,
2012-07,11.906,
2012-10,12.011,
2013-01,11.965,
2013-04,12.062,
2013-07,12.079,
2013-10,12.159,
2014-01,12.201,
2014-04,12.305,
2014-07,12.425,
