"",BBK01.OECB02S,BBK01.OECB02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:50,
2002-01,0.665,
2002-04,0.642,
2002-07,0.669,
2002-10,0.547,
2003-01,0.460,
2003-04,0.478,
2003-07,0.472,
2003-10,0.392,
2004-01,0.371,
2004-04,0.360,
2004-07,0.361,
2004-10,0.313,
2005-01,0.354,
2005-04,0.334,
2005-07,0.340,
2005-10,0.293,
2006-01,0.337,
2006-04,0.341,
2006-07,0.344,
2006-10,0.273,
2007-01,0.271,
2007-04,0.278,
2007-07,0.253,
2007-10,0.297,
2008-01,0.332,
2008-04,0.370,
2008-07,0.365,
2008-10,0.314,
2009-01,0.287,
2009-04,0.284,
2009-07,0.259,
2009-10,0.255,
2010-01,0.263,
2010-04,0.266,
2010-07,0.264,
2010-10,0.255,
2011-01,0.244,
2011-04,0.290,
2011-07,0.261,
2011-10,0.253,
2012-01,0.265,
2012-04,0.257,
2012-07,0.262,
2012-10,0.251,
2013-01,0.261,
2013-04,0.260,
2013-07,0.262,
2013-10,0.249,
2014-01,0.240,
2014-04,0.247,
2014-07,0.242,
