"",BBK01.OXA8T2,BBK01.OXA8T2_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from domestic employees and other individuals during the reporting period - of which: off-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:49,
2009-12,-,Nothing exists
2010-01,0.109,
2010-02,-,Nothing exists
2010-03,0.080,
2010-04,-,Nothing exists
2010-05,0.086,
2010-06,-0.027,
2010-07,0.641,
2010-08,-0.025,
2010-09,-0.035,
2010-10,-0.043,
2010-11,-0.020,
2010-12,-0.146,
2011-01,-0.085,
2011-02,0.490,
2011-03,-0.152,
2011-04,-0.107,
2011-05,0.012,
2011-06,1.081,
2011-07,0.525,
2011-08,0.032,
2011-09,-0.443,
2011-10,0.023,
2011-11,0.026,
2011-12,0.456,
2012-01,0.003,
2012-02,0.040,
2012-03,0.031,
2012-04,0.022,
2012-05,-0.062,
2012-06,-0.036,
2012-07,-0.006,
2012-08,0.033,
2012-09,0.037,
2012-10,0.029,
2012-11,-0.241,
2012-12,0.032,
2013-01,0.025,
2013-02,0.288,
2013-03,0.009,
2013-04,0.009,
2013-05,-0.125,
2013-06,0.007,
2013-07,0.499,
2013-08,-0.286,
2013-09,-0.017,
2013-10,0.006,
2013-11,0.013,
2013-12,0.023,
2014-01,0.002,
2014-02,0.005,
2014-03,0.015,
2014-04,0.008,
2014-05,0.946,
2014-06,-0.038,
2014-07,-0.002,
2014-08,0.034,
2014-09,0.001,
2014-10,-0.042,
2014-11,0.553,
2014-12,0.007,Provisional value
