"",BBEX3.M.GNF.USD.CA.AB.A01,BBEX3.M.GNF.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Guinea / USD 1 = GNF ... (selling),
unit,GNF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:37,
1990-01,633.1500,
1990-02,653.2500,
1990-03,653.2500,
1990-04,653.2500,
1990-05,658.2750,
1990-06,668.3250,
1990-07,668.3250,
1990-08,673.3500,
1990-09,678.3750,
1990-10,678.3750,
1990-11,678.3750,
1990-12,683.4000,
1991-01,683.4000,
1991-02,685.5909,
1991-03,703.1265,
1991-04,731.4436,
1991-05,732.0673,
1991-06,759.0081,
1991-07,802.0467,
1991-08,819.9881,
1991-09,816.3725,
1991-10,822.1670,
1991-11,811.0038,
1991-12,806.9620,
1992-01,828.0759,
1992-02,859.4251,
1992-03,894.7461,
1992-04,926.9599,
1992-05,927.5667,
1992-06,927.2963,
1992-07,927.0472,
1992-08,927.2287,
1992-09,927.5194,
1992-10,927.0255,
1992-11,927.3315,
1992-12,926.8861,
1993-01,939.0527,
1993-02,956.6551,
1993-03,957.4773,
1993-04,956.7750,
1993-05,958.2210,
1993-06,960.8760,
1993-07,962.5970,
1993-08,961.6441,
1993-09,962.5896,
1993-10,976.8547,
1993-11,976.7867,
1993-12,977.2760,
1994-01,980.0797,
1994-02,981.1437,
1994-03,981.1751,
1994-04,981.5136,
1994-05,981.3205,
1994-06,980.8516,
1994-07,980.9025,
1994-08,980.5503,
1994-09,980.8373,
1994-10,981.3105,
1994-11,983.6196,
1994-12,985.9289,
1995-01,986.2495,
1995-02,989.9250,
1995-03,991.0758,
1995-04,994.8730,
1995-05,994.3851,
1995-06,997.6577,
1995-07,1000.0955,
1995-08,1000.6297,
1995-09,1001.9495,
1995-10,1002.3322,
1995-11,1002.6284,
1995-12,1002.9742,
1996-01,1003.5527,
1996-02,1003.9616,
1996-03,1004.3818,
1996-04,1004.7634,
1996-05,1004.9788,
1996-06,1005.0000,
1996-07,1005.1506,
1996-08,1005.2211,
1996-09,1010.3186,
1996-10,1010.3255,
1996-11,1012.0630,
1996-12,1044.3253,
1997-01,1049.2216,
1997-02,1076.1309,
1997-03,1076.1309,
1997-04,1076.1309,
1997-05,1098.5651,
1997-06,1105.8848,
1997-07,1107.5099,
1997-08,1133.3788,
1997-09,1141.7841,
1997-10,1142.6849,
1997-11,1148.8392,
1997-12,1150.6749,
1998-01,1175.8404,
