"",BBK01.OEAH95O,BBK01.OEAH95O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:23,
2002-01,0.261,
2002-04,0.221,
2002-07,0.205,
2002-10,0.184,
2003-01,0.164,
2003-04,0.152,
2003-07,0.139,
2003-10,0.121,
2004-01,0.105,
2004-04,0.089,
2004-07,0.080,
2004-10,0.090,
2005-01,0.428,
2005-04,0.409,
2005-07,0.397,
2005-10,0.400,
2006-01,0.385,
2006-04,0.352,
2006-07,0.344,
2006-10,0.344,
2007-01,0.342,
2007-04,0.332,
2007-07,0.325,
2007-10,0.324,
2008-01,0.320,
2008-04,0.316,
2008-07,0.304,
2008-10,0.311,
2009-01,0.314,
2009-04,0.325,
2009-07,0.335,
2009-10,0.346,
2010-01,0.352,
2010-04,0.354,
2010-07,0.354,
2010-10,0.360,
2011-01,0.366,
2011-04,0.370,
2011-07,0.365,
2011-10,0.366,
2012-01,0.377,
2012-04,0.376,
2012-07,0.368,
2012-10,0.362,
2013-01,0.354,
2013-04,0.346,
2013-07,0.342,
2013-10,0.339,
2014-01,0.338,
2014-04,0.332,
2014-07,0.324,
