"",BBK01.PQ1642,BBK01.PQ1642_FLAGS
"",Housing loans to domestic enterprises and resident individuals / Short-term / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:42,
1968-10,0.436,
1969-01,0.452,
1969-04,0.483,
1969-07,0.506,
1969-10,0.545,
1970-01,0.542,
1970-04,0.586,
1970-07,0.601,
1970-10,0.627,
1971-01,0.617,
1971-04,0.663,
1971-07,0.698,
1971-10,0.720,
1972-01,0.730,
1972-04,0.772,
1972-07,0.816,
1972-10,0.873,
1973-01,0.893,
1973-04,0.933,
1973-07,0.957,
1973-10,1.029,
1974-01,1.079,
1974-04,1.083,
1974-07,1.052,
1974-10,1.062,
1975-01,1.027,
1975-04,1.016,
1975-07,1.051,
1975-10,1.061,
1976-01,1.057,
1976-04,1.092,
1976-07,1.103,
1976-10,1.248,
1977-01,1.179,
1977-04,1.234,
1977-07,1.304,
1977-10,1.358,
1978-01,1.383,
1978-04,1.482,
1978-07,1.550,
1978-10,1.622,
1979-01,1.613,
1979-04,1.699,
1979-07,1.734,
1979-10,1.874,
1980-01,1.881,
1980-04,1.905,
1980-07,2.020,
1980-10,2.273,
1981-01,2.247,
1981-04,2.317,
1981-07,2.346,
1981-10,2.443,
1982-01,2.440,
1982-04,2.535,
1982-07,2.549,
1982-10,2.603,
1983-01,2.571,
1983-04,2.599,
1983-07,2.627,
1983-10,2.699,
1984-01,2.566,
1984-04,2.627,
1984-07,2.644,
1984-10,2.605,
1985-01,2.484,
1985-04,2.447,
1985-07,2.447,
1985-10,2.539,
1986-01,2.367,
1986-04,2.320,
1986-07,2.258,
1986-10,2.111,
1987-01,1.946,
1987-04,1.911,
1987-07,1.861,
1987-10,1.788,
1988-01,1.684,
1988-04,1.650,
1988-07,1.605,
1988-10,1.495,
1989-01,1.411,
1989-04,1.458,
1989-07,1.451,
1989-10,1.469,
1990-01,1.392,
1990-04,1.447,
1990-07,1.505,
1990-10,1.571,
1991-01,1.557,
1991-04,1.658,
1991-07,1.739,
1991-10,1.749,
1992-01,1.772,
1992-04,1.892,
1992-07,2.007,
1992-10,2.096,
1993-01,2.155,
1993-04,2.288,
1993-07,2.471,
1993-10,2.693,
1994-01,2.577,
1994-04,2.644,
1994-07,3.021,
1994-10,3.303,
1995-01,3.220,
1995-04,3.337,
1995-07,3.475,
1995-10,3.457,
1996-01,3.201,
1996-04,3.254,
1996-07,3.179,
1996-10,3.349,
1997-01,3.145,
1997-04,3.120,
1997-07,3.062,
1997-10,2.950,
1998-01,2.826,
1998-04,2.896,
1998-07,2.928,
1998-10,3.022,
1999-01,2.899,
1999-04,2.711,
1999-07,2.603,
1999-10,2.511,
2000-01,2.574,
2000-04,2.593,
2000-07,2.586,
2000-10,2.573,
2001-01,2.518,
2001-04,2.471,
2001-07,2.477,
2001-10,2.399,
2002-01,2.314,
2002-04,2.293,
2002-07,2.252,
2002-10,2.193,
2003-01,2.099,
2003-04,2.687,
2003-07,2.768,
2003-10,2.617,
2004-01,2.497,
2004-04,2.449,
2004-07,2.409,
2004-10,2.345,
2005-01,2.239,
2005-04,2.155,
2005-07,2.173,
2005-10,2.051,
2006-01,1.963,
2006-04,1.943,
2006-07,1.946,
2006-10,1.982,
2007-01,1.909,
2007-04,1.962,
2007-07,1.948,
2007-10,1.955,
2008-01,1.990,
2008-04,1.997,
2008-07,1.979,
2008-10,1.973,
2009-01,2.009,
2009-04,1.948,
2009-07,1.931,
2009-10,1.923,
2010-01,1.904,
2010-04,1.477,
2010-07,1.500,
2010-10,1.596,
2011-01,1.514,
2011-04,1.556,
2011-07,1.668,
2011-10,2.049,
2012-01,1.975,
2012-04,2.117,
2012-07,2.217,
2012-10,2.198,
2013-01,2.232,
2013-04,2.309,
2013-07,2.378,
2013-10,2.457,
2014-01,2.483,
2014-04,2.502,
2014-07,2.576,
2014-10,2.591,
