"",BBK01.CEB0Q2,BBK01.CEB0Q2_FLAGS
"",Financial assets  (consolidated) debtor: All sectors                   creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:23,
1991-01,2704.3,
1991-04,2746.6,
1991-07,2786.8,
1991-10,3033.0,
1992-01,2939.7,
1992-04,2970.8,
1992-07,3041.3,
1992-10,3295.4,
1993-01,3219.5,
1993-04,3413.7,
1993-07,3534.0,
1993-10,3803.2,
1994-01,3806.3,
1994-04,3818.6,
1994-07,3865.0,
1994-10,3972.9,
1995-01,3975.4,
1995-04,4085.0,
1995-07,4203.3,
1995-10,4375.5,
1996-01,4491.1,
1996-04,4584.1,
1996-07,4674.6,
1996-10,4854.0,
1997-01,5072.0,
1997-04,5228.8,
1997-07,5351.9,
1997-10,5479.9,
1998-01,5751.8,
1998-04,5958.7,
1998-07,5939.8,
1998-10,6168.0,
1999-01,6329.6,
1999-04,6480.4,
1999-07,6500.4,
1999-10,6944.0,
2000-01,7157.0,
2000-04,7254.2,
2000-07,7338.7,
2000-10,7278.1,
2001-01,7469.2,
2001-04,7494.6,
2001-07,7360.8,
2001-10,7508.0,
2002-01,7597.2,
2002-04,7492.8,
2002-07,7481.9,
2002-10,7488.8,
2003-01,7574.7,
2003-04,7740.1,
2003-07,7727.0,
2003-10,7754.0,
2004-01,7961.8,
2004-04,7926.8,
2004-07,8029.3,
2004-10,8112.0,
2005-01,8313.4,
2005-04,8522.2,
2005-07,8678.1,
2005-10,8697.0,
2006-01,8794.7,
2006-04,8820.0,
2006-07,8981.0,
2006-10,9049.8,
2007-01,9175.2,
2007-04,9309.6,
2007-07,9406.2,
2007-10,9441.3,
2008-01,9599.1,
2008-04,9584.5,
2008-07,9734.7,
2008-10,9710.9,
2009-01,9795.7,
2009-04,9776.3,
2009-07,9797.9,
2009-10,9850.6,
2010-01,9983.8,
2010-04,10292.8,
2010-07,10277.5,
2010-10,10159.8,
2011-01,10039.1,
2011-04,10144.7,
2011-07,10425.8,
2011-10,10372.4,
2012-01,10710.3,
2012-04,10895.1,
2012-07,11001.7,
2012-10,10892.1,
2013-01,10956.6,
2013-04,10904.9,
2013-07,10593.3,
2013-10,10538.8,
2014-01,10692.5,
