"",BBK01.OEHJ05G,BBK01.OEHJ05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:37,
2002-01,2.067,
2002-04,2.097,
2002-07,2.090,
2002-10,1.981,
2003-01,1.885,
2003-04,1.729,
2003-07,1.703,
2003-10,1.614,
2004-01,1.565,
2004-04,1.530,
2004-07,1.469,
2004-10,1.431,
2005-01,1.432,
2005-04,1.389,
2005-07,1.326,
2005-10,1.278,
2006-01,1.211,
2006-04,1.179,
2006-07,1.144,
2006-10,1.095,
2007-01,1.066,
2007-04,1.030,
2007-07,1.025,
2007-10,0.996,
2008-01,0.966,
2008-04,0.910,
2008-07,0.891,
2008-10,0.871,
2009-01,0.862,
2009-04,0.771,
2009-07,0.762,
2009-10,0.747,
2010-01,0.725,
2010-04,0.706,
2010-07,0.700,
2010-10,0.730,
2011-01,0.664,
2011-04,0.683,
2011-07,0.641,
2011-10,0.644,
2012-01,0.651,
2012-04,0.623,
2012-07,0.657,
2012-10,0.622,
2013-01,0.646,
2013-04,0.596,
2013-07,0.582,
2013-10,0.548,
2014-01,0.598,
2014-04,0.582,
2014-07,0.636,
