"",BBK01.OEAH79L,BBK01.OEAH79L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:31,
2002-01,0.009,
2002-04,0.003,
2002-07,0.007,
2002-10,0.007,
2003-01,0.007,
2003-04,0.011,
2003-07,0.010,
2003-10,0.015,
2004-01,0.015,
2004-04,0.021,
2004-07,0.018,
2004-10,0.021,
2005-01,0.021,
2005-04,0.016,
2005-07,0.015,
2005-10,0.013,
2006-01,0.012,
2006-04,0.008,
2006-07,0.012,
2006-10,0.024,
2007-01,0.037,
2007-04,0.051,
2007-07,0.066,
2007-10,0.062,
2008-01,0.059,
2008-04,0.056,
2008-07,0.052,
2008-10,0.045,
2009-01,0.035,
2009-04,0.046,
2009-07,0.048,
2009-10,0.046,
2010-01,0.028,
2010-04,0.043,
2010-07,0.030,
2010-10,0.035,
2011-01,0.034,
2011-04,0.033,
2011-07,0.028,
2011-10,0.025,
2012-01,0.019,
2012-04,0.016,
2012-07,0.027,
2012-10,0.024,
2013-01,0.021,
2013-04,0.020,
2013-07,0.020,
2013-10,0.020,
2014-01,0.026,
2014-04,0.021,
2014-07,0.023,
