"",BBDE1.M.DE.Y.AEP5.A2P350000.F.V.I10.A,BBDE1.M.DE.Y.AEP5.A2P350000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, non-euro-area countries / At current prices, flows / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:11,
2010-01,95.9,
2010-02,93.7,
2010-03,101.0,
2010-04,96.3,
2010-05,103.8,
2010-06,101.9,
2010-07,95.1,
2010-08,98.7,
2010-09,101.0,
2010-10,102.2,
2010-11,104.9,
2010-12,100.9,
2011-01,102.2,
2011-02,105.0,
2011-03,105.7,
2011-04,109.0,
2011-05,104.8,
2011-06,102.5,
2011-07,111.4,
2011-08,102.6,
2011-09,103.6,
2011-10,100.8,
2011-11,104.4,
2011-12,106.5,
2012-01,108.7,
2012-02,106.6,
2012-03,116.6,
2012-04,105.8,
2012-05,111.6,
2012-06,114.0,
2012-07,118.5,
2012-08,115.3,
2012-09,117.2,
2012-10,117.1,
2012-11,115.9,
2012-12,119.4,
2013-01,107.6,
2013-02,113.3,
2013-03,113.4,
2013-04,120.6,
2013-05,119.3,
2013-06,112.8,
2013-07,121.2,
2013-08,118.8,
2013-09,133.4,
2013-10,122.2,
2013-11,123.2,
2013-12,117.8,
2014-01,126.2,
2014-02,126.0,
2014-03,118.4,
2014-04,128.6,
2014-05,126.7,
2014-06,125.8,
2014-07,121.3,
2014-08,130.3,
2014-09,125.0,
2014-10,137.0,
2014-11,124.3,
2014-12,132.4,Provisional value
