"",BBK01.OEAC05S,BBK01.OEAC05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:02,
2002-01,1.291,
2002-04,1.272,
2002-07,1.270,
2002-10,1.185,
2003-01,1.171,
2003-04,1.156,
2003-07,1.127,
2003-10,1.112,
2004-01,1.104,
2004-04,1.074,
2004-07,1.037,
2004-10,1.009,
2005-01,0.999,
2005-04,0.981,
2005-07,0.955,
2005-10,0.933,
2006-01,0.917,
2006-04,0.902,
2006-07,0.889,
2006-10,0.858,
2007-01,0.854,
2007-04,0.843,
2007-07,0.835,
2007-10,0.818,
2008-01,0.825,
2008-04,0.829,
2008-07,0.833,
2008-10,0.818,
2009-01,0.808,
2009-04,0.820,
2009-07,0.814,
2009-10,0.774,
2010-01,0.820,
2010-04,0.808,
2010-07,0.811,
2010-10,0.826,
2011-01,0.814,
2011-04,0.822,
2011-07,0.817,
2011-10,0.824,
2012-01,0.821,
2012-04,0.877,
2012-07,0.860,
2012-10,0.841,
2013-01,0.840,
2013-04,0.844,
2013-07,0.835,
2013-10,0.835,
2014-01,0.829,
2014-04,0.831,
2014-07,0.839,
