"",BBFB1.Q.N.DE.CA.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:34,
1991-01,4.245,
1991-04,4.979,
1991-07,-11.632,
1991-10,617.723,
1992-01,-7.580,
1992-04,-2.829,
1992-07,-16.186,
1992-10,4.324,
1993-01,-57.934,
1993-04,7.115,
1993-07,48.428,
1993-10,-56.614,
1994-01,-2.237,
1994-04,48.899,
1994-07,-122.614,
1994-10,90.473,
1995-01,1.978,
1995-04,79.630,
1995-07,9.589,
1995-10,27.267,
1996-01,-172.629,
1996-04,-134.171,
1996-07,-3.432,
1996-10,-641.901,
1997-01,-211.006,
1997-04,36.842,
1997-07,117.685,
1997-10,-29.539,
1998-01,53.419,
1998-04,-112.541,
1998-07,-148.553,
1998-10,-312.298,
1999-01,-105.753,
1999-04,73.382,
1999-07,236.273,
1999-10,-7.134,
2000-01,342.490,
2000-04,-223.256,
2000-07,41.457,
2000-10,383.634,
2001-01,-218.927,
2001-04,336.366,
2001-07,-6.866,
2001-10,-594.209,
2002-01,-103.750,
2002-04,201.717,
2002-07,136.964,
2002-10,333.108,
2003-01,-410.640,
2003-04,153.290,
2003-07,-165.839,
2003-10,1097.426,
2004-01,-930.911,
2004-04,-96.975,
2004-07,-93.390,
2004-10,280.508,
2005-01,70.447,
2005-04,-116.960,
2005-07,63.206,
2005-10,175.301,
2006-01,-317.581,
2006-04,-28.902,
2006-07,-10.712,
2006-10,538.368,
2007-01,216.318,
2007-04,-13.043,
2007-07,-67.076,
2007-10,364.970,
2008-01,-1247.331,
2008-04,48.134,
2008-07,976.868,
2008-10,-201.898,
2009-01,-200.942,
2009-04,105.695,
2009-07,205.042,
2009-10,225.492,
2010-01,-202.319,
2010-04,273.698,
2010-07,-384.021,
2010-10,-113.388,
2011-01,250.593,
2011-04,82.214,
2011-07,136.759,
2011-10,-300.101,
2012-01,-151.640,
2012-04,201.582,
2012-07,-242.279,
2012-10,344.449,
2013-01,-110.164,
2013-04,-47.821,
2013-07,6.632,
2013-10,731.557,
2014-01,41.446,Provisional value
2014-04,161.960,Provisional value
2014-07,1785.094,Provisional value
2014-10,-415.773,Provisional value
