"",BBK01.OEAC52M,BBK01.OEAC52M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:13,
2002-01,4.531,
2002-04,4.337,
2002-07,4.349,
2002-10,4.343,
2003-01,4.314,
2003-04,4.238,
2003-07,4.280,
2003-10,4.209,
2004-01,4.289,
2004-04,4.485,
2004-07,4.756,
2004-10,4.692,
2005-01,4.797,
2005-04,5.065,
2005-07,5.218,
2005-10,5.687,
2006-01,5.773,
2006-04,5.935,
2006-07,6.196,
2006-10,7.301,
2007-01,7.493,
2007-04,7.607,
2007-07,7.551,
2007-10,7.905,
2008-01,8.085,
2008-04,8.336,
2008-07,9.341,
2008-10,10.073,
2009-01,10.495,
2009-04,10.539,
2009-07,10.539,
2009-10,10.810,
2010-01,12.099,
2010-04,10.901,
2010-07,10.380,
2010-10,10.480,
2011-01,10.074,
2011-04,10.025,
2011-07,10.538,
2011-10,10.670,
2012-01,10.743,
2012-04,11.168,
2012-07,10.900,
2012-10,10.575,
2013-01,10.488,
2013-04,9.850,
2013-07,9.300,
2013-10,8.114,
2014-01,7.861,
2014-04,7.445,
2014-07,7.602,
