"",BBFN1.M.DE.N.1.A.ID.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ID.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Indonesia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:56,
1975-12,0.014,
1976-01,0.014,
1976-02,0.007,
1976-03,0.013,
1976-04,0.009,
1976-05,0.014,
1976-06,0.010,
1976-07,0.010,
1976-08,0.014,
1976-09,0.014,
1976-10,0.011,
1976-11,0.016,
1976-12,0.037,
1977-01,0.041,
1977-02,0.030,
1977-03,0.040,
1977-04,0.037,
1977-05,0.039,
1977-06,0.040,
1977-07,0.040,
1977-08,0.037,
1977-09,0.035,
1977-10,0.030,
1977-11,0.027,
1977-12,0.013,
1978-01,0.008,
1978-02,0.013,
1978-03,0.014,
1978-04,0.014,
1978-05,0.013,
1978-06,0.012,
1978-07,0.011,
1978-08,0.010,
1978-09,0.010,
1978-10,0.006,
1978-11,0.008,
1978-12,0.007,
1979-01,0.007,
1979-02,0.008,
1979-03,0.006,
1979-04,0.005,
1979-05,0.004,
1979-06,0.005,
1979-07,0.005,
1979-08,0.006,
1979-09,0.009,
1979-10,0.007,
1979-11,0.006,
1979-12,0.006,
1980-01,0.006,
1980-02,0.007,
1980-03,0.007,
1980-04,0.007,
1980-05,0.007,
1980-06,0.006,
1980-07,0.006,
1980-08,0.007,
1980-09,0.007,
1980-10,0.012,
1980-11,0.012,
1980-12,0.013,
1981-01,0.014,
1981-02,0.018,
1981-03,0.018,
1981-04,0.019,
1981-05,0.019,
1981-06,0.019,
1981-07,0.020,
1981-08,0.021,
1981-09,0.027,
1981-10,0.029,
1981-11,0.031,
1981-12,0.030,
1982-01,0.030,
1982-02,0.034,
1982-03,0.034,
1982-04,0.032,
1982-05,0.032,
1982-06,0.033,
1982-07,0.035,
1982-08,0.032,
1982-09,0.034,
1982-10,0.036,
1982-11,0.038,
1982-12,0.034,
1983-01,0.039,
1983-02,0.034,
1983-03,0.017,
1983-04,0.016,
1983-05,0.017,
1983-06,0.017,
1983-07,0.027,
1983-08,0.025,
1983-09,0.025,
1983-10,0.019,
1983-11,0.019,
1983-12,0.019,
1984-01,0.017,
1984-02,0.018,
1984-03,0.018,
1984-04,0.018,
1984-05,0.018,
1984-06,0.020,
1984-07,0.018,
1984-08,0.022,
1984-09,0.024,
1984-10,0.021,
1984-11,0.023,
1984-12,0.024,
1985-01,0.020,
1985-02,0.020,
1985-03,0.019,
1985-04,0.016,
1985-05,0.015,
1985-06,0.014,
1985-07,0.014,
1985-08,0.013,
1985-09,0.014,
1985-10,0.016,
1985-11,0.015,
1985-12,0.015,
1986-01,0.016,
1986-02,0.015,
1986-03,0.015,
1986-04,0.015,
1986-05,0.014,
1986-06,0.019,
1986-07,0.016,
1986-08,0.016,
1986-09,0.016,
1986-10,0.016,
1986-11,0.016,
1986-12,0.013,
1987-01,0.012,
1987-02,0.011,
1987-03,0.012,
1987-04,0.012,
1987-05,0.012,
1987-06,0.012,
1987-07,0.012,
1987-08,0.012,
1987-09,0.012,
1987-10,0.012,
1987-11,0.012,
1987-12,0.014,
1988-01,0.016,
1988-02,0.018,
1988-03,0.019,
1988-04,0.019,
1988-05,0.021,
1988-06,0.020,
1988-07,0.020,
1988-08,0.021,
1988-09,0.021,
1988-10,0.023,
1988-11,0.023,
1988-12,0.025,
1989-01,0.024,
1989-02,0.023,
1989-03,0.023,
1989-04,0.024,
1989-05,0.023,
1989-06,0.022,
1989-07,0.023,
1989-08,0.020,
1989-09,0.020,
1989-10,0.019,
1989-11,0.020,
1989-12,0.021,
1990-01,0.019,
1990-02,0.021,
1990-03,0.020,
1990-04,0.022,
1990-05,0.021,
1990-06,0.018,
1990-07,0.020,
1990-08,0.023,
1990-09,0.022,
1990-10,0.024,
1990-11,0.024,
1990-12,0.026,
1991-01,0.022,
1991-02,0.025,
1991-03,0.027,
1991-04,0.027,
1991-05,0.026,
1991-06,0.027,
1991-07,0.031,
1991-08,0.032,
1991-09,0.023,
1991-10,0.038,
1991-11,0.042,
1991-12,0.029,
1992-01,0.032,
1992-02,0.033,
1992-03,0.030,
1992-04,0.032,
1992-05,0.031,
1992-06,0.031,
1992-07,0.035,
1992-08,0.033,
1992-09,0.033,
1992-10,0.034,
1992-11,0.036,
1992-12,0.035,
1993-01,0.029,
1993-02,0.032,
1993-03,0.035,
1993-04,0.036,
1993-05,0.065,
1993-06,0.035,
1993-07,0.035,
1993-08,0.042,
1993-09,0.035,
1993-10,0.035,
1993-11,0.035,
1993-12,0.036,
1994-01,0.036,
1994-02,0.042,
1994-03,0.048,
1994-04,0.046,
1994-05,0.047,
1994-06,0.053,
1994-07,0.060,
1994-08,0.064,
1994-09,0.066,
1994-10,0.064,
1994-11,0.052,
1994-12,0.046,
1995-01,0.041,
1995-02,0.049,
1995-03,0.050,
1995-04,0.062,
1995-05,0.072,
1995-06,0.075,
1995-07,0.062,
1995-08,0.072,
1995-09,0.069,
1995-10,0.060,
1995-11,0.062,
1995-12,0.065,
1996-01,0.074,
1996-02,0.069,
1996-03,0.071,
1996-04,0.070,
1996-05,0.071,
1996-06,0.068,
1996-07,0.069,
1996-08,0.067,
1996-09,0.085,
1996-10,0.074,
1996-11,0.071,
1996-12,0.085,
1997-01,0.090,
1997-02,0.095,
1997-03,0.092,
1997-04,0.103,
1997-05,0.106,
1997-06,0.110,
1997-07,0.114,
1997-08,0.114,
1997-09,0.086,
1997-10,0.101,
1997-11,0.087,
1997-12,0.090,
1998-01,0.115,
1998-02,0.133,
1998-03,0.120,
1998-04,0.120,
1998-05,0.110,
1998-06,0.114,
1998-07,0.116,
1998-08,0.115,
1998-09,0.113,
1998-10,0.109,
1998-11,0.122,
1998-12,0.105,
1999-01,0.103,
1999-02,0.113,
1999-03,0.125,
1999-04,0.139,
1999-05,0.128,
1999-06,0.132,
1999-07,0.119,
1999-08,0.113,
1999-09,0.104,
1999-10,0.100,
1999-11,0.102,
1999-12,0.103,
2000-01,0.108,
2000-02,0.111,
2000-03,0.118,
2000-04,0.127,
2000-05,0.123,
2000-06,0.108,
2000-07,0.099,
2000-08,0.121,
2000-09,0.104,
2000-10,0.106,
2000-11,0.115,
2000-12,0.117,
2001-01,0.122,
2001-02,0.087,
2001-03,0.089,
2001-04,0.095,
2001-05,0.095,
2001-06,0.120,
2001-07,0.078,
2001-08,0.071,
2001-09,0.069,
2001-10,0.067,
2001-11,0.073,
2001-12,0.079,
2002-01,0.078,
2002-02,0.079,
2002-03,0.072,
2002-04,0.062,
2002-05,0.068,
2002-06,0.064,
2002-07,0.061,
2002-08,0.050,
2002-09,0.069,
2002-10,0.069,
2002-11,0.074,
2002-12,0.081,
2003-01,0.073,
2003-02,0.132,
2003-03,0.059,
2003-04,0.057,
2003-05,0.055,
2003-06,0.060,
2003-07,0.049,
2003-08,0.049,
2003-09,0.050,
2003-10,0.121,
2003-11,0.047,
2003-12,0.033,
2004-01,0.042,
2004-02,0.042,
2004-03,0.042,
2004-04,0.050,
2004-05,0.052,
2004-06,0.053,
2004-07,0.039,
2004-08,0.042,
2004-09,0.042,
2004-10,0.043,
2004-11,0.041,
2004-12,0.042,
2005-01,0.040,
2005-02,0.051,
2005-03,0.052,
2005-04,0.050,
2005-05,0.050,
2005-06,0.057,
2005-07,0.060,
2005-08,0.066,
2005-09,0.056,
2005-10,0.053,
2005-11,0.053,
2005-12,0.071,
2006-01,0.067,
2006-02,0.066,
2006-03,0.064,
2006-04,0.061,
2006-05,0.065,
2006-06,0.064,
2006-07,0.063,
2006-08,0.070,
2006-09,0.070,
2006-10,0.070,
2006-11,0.074,
2006-12,0.079,
2007-01,0.068,
2007-02,0.069,
2007-03,0.067,
2007-04,0.087,
2007-05,0.091,
2007-06,0.169,
2007-07,0.088,
2007-08,0.190,
2007-09,0.119,
2007-10,0.115,
2007-11,0.118,
2007-12,0.115,
2008-01,0.110,
2008-02,0.117,
2008-03,0.113,
2008-04,0.117,
2008-05,0.116,
2008-06,0.114,
2008-07,0.125,
2008-08,0.130,
2008-09,0.142,
2008-10,0.137,
2008-11,0.147,
2008-12,0.130,
2009-01,0.126,
2009-02,0.137,
2009-03,0.137,
2009-04,0.142,
2009-05,0.136,
2009-06,0.134,
2009-07,0.132,
2009-08,0.130,
2009-09,0.267,
2009-10,0.133,
2009-11,0.121,
2009-12,0.130,
2010-01,0.130,
2010-02,0.082,
2010-03,0.091,
2010-04,0.089,
2010-05,0.106,
2010-06,0.108,
2010-07,0.108,
2010-08,0.106,
2010-09,0.113,
2010-10,0.108,
