"",BBK01.OEAE18H,BBK01.OEAE18H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:09,
2002-01,4.147,
2002-04,4.601,
2002-07,4.610,
2002-10,4.183,
2003-01,3.182,
2003-04,2.725,
2003-07,2.669,
2003-10,2.640,
2004-01,2.599,
2004-04,2.309,
2004-07,2.170,
2004-10,2.083,
2005-01,2.102,
2005-04,2.113,
2005-07,1.951,
2005-10,1.855,
2006-01,1.741,
2006-04,1.622,
2006-07,1.726,
2006-10,1.519,
2007-01,1.496,
2007-04,1.496,
2007-07,1.556,
2007-10,1.493,
2008-01,1.734,
2008-04,1.802,
2008-07,1.849,
2008-10,1.512,
2009-01,1.227,
2009-04,1.207,
2009-07,1.156,
2009-10,1.094,
2010-01,1.006,
2010-04,0.972,
2010-07,0.933,
2010-10,0.889,
2011-01,0.819,
2011-04,0.803,
2011-07,0.794,
2011-10,0.799,
2012-01,0.765,
2012-04,0.792,
2012-07,0.805,
2012-10,0.805,
2013-01,0.673,
2013-04,0.722,
2013-07,0.698,
2013-10,0.715,
2014-01,0.749,
2014-04,0.754,
2014-07,0.792,
