"",BBK01.OEXB01R,BBK01.OEXB01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:45,
2002-01,5.190,
2002-04,5.334,
2002-07,5.479,
2002-10,5.618,
2003-01,5.571,
2003-04,5.708,
2003-07,5.732,
2003-10,5.780,
2004-01,5.814,
2004-04,5.881,
2004-07,5.938,
2004-10,5.468,
2005-01,5.452,
2005-04,5.525,
2005-07,5.509,
2005-10,5.458,
2006-01,5.515,
2006-04,5.646,
2006-07,5.752,
2006-10,5.891,
2007-01,6.048,
2007-04,6.146,
2007-07,6.195,
2007-10,6.369,
2008-01,22.122,
2008-04,6.648,
2008-07,6.756,
2008-10,6.893,
2009-01,6.830,
2009-04,6.986,
2009-07,7.159,
2009-10,7.408,
2010-01,7.649,
2010-04,7.856,
2010-07,8.025,
2010-10,8.157,
2011-01,8.294,
2011-04,8.441,
2011-07,8.544,
2011-10,8.841,
2012-01,8.970,
2012-04,9.127,
2012-07,9.281,
2012-10,9.485,
2013-01,9.619,
2013-04,9.735,
2013-07,9.869,
2013-10,10.149,
2014-01,10.310,
2014-04,10.254,
2014-07,10.327,
