"",BBEX3.M.MMK.EUR.CA.AC.A01,BBEX3.M.MMK.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Myanmar / EUR 1 = MMK ... (middle),
unit,MMK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:11,
1999-01,7.04315,
1999-02,6.94780,
1999-03,6.79235,
1999-04,6.73550,
1999-05,6.69610,
1999-06,6.65960,
1999-07,6.73820,
1999-08,6.59965,
1999-09,6.53090,
1999-10,6.53185,
1999-11,6.30735,
1999-12,6.29715,
2000-01,6.22565,
2000-02,6.18605,
2000-03,6.10825,
2000-04,5.93180,
2000-05,5.98750,
2000-06,6.11110,
2000-07,6.05565,
2000-08,5.89105,
2000-09,5.85960,
2000-10,5.60400,
2000-11,5.79690,
2000-12,6.12670,
2001-01,6.12050,
2001-02,6.07850,
2001-03,5.99645,
2001-04,6.09325,
2001-05,5.85610,
2001-06,5.86305,
2001-07,5.98010,
2001-08,6.09385,
2001-09,6.13010,
2001-10,6.03315,
2001-11,6.00990,
2001-12,6.04405,
2002-01,5.97010,
2002-02,5.98990,
2002-03,6.01285,
2002-04,6.11535,
2002-05,6.24595,
2002-06,6.39290,
2002-07,6.37620,
2002-08,6.37665,
2002-09,6.37520,
2002-10,6.39630,
2002-11,6.43925,
2002-12,6.61175,
2003-01,6.72870,
2003-02,6.77110,
2003-03,6.76530,
2003-04,6.84395,
2003-05,7.13595,
2003-06,6.99650,
2003-07,7.01350,
2003-08,6.78690,
2003-09,6.93960,
2003-10,7.01415,
2003-11,7.06065,
2003-12,7.25600,
2004-01,7.20360,
2004-02,7.22370,
2004-03,7.09395,
2004-04,7.03765,
2004-05,7.16465,
2004-06,7.12565,
2004-07,7.10200,
2004-08,7.10085,
2004-09,7.21130,
2004-10,7.31270,
2004-11,7.43235,
2004-12,7.55285,
2005-01,7.36540,
2005-02,7.42070,
2005-03,7.37220,
2005-04,7.32715,
2005-05,7.26230,
2005-06,7.09910,
2005-07,7.17060,
2005-08,7.16935,
2005-09,7.14635,
2005-10,7.18290,
2005-11,7.10445,
2005-12,7.13730,
2006-01,7.19215,
2006-02,7.10485,
2006-03,7.21545,
2006-04,7.29055,
2006-05,7.38685,
2006-06,7.33805,
2006-07,7.36170,
2006-08,7.41055,
2006-09,7.38340,
2006-10,7.37340,
2006-11,7.50770,
2006-12,7.53095,
2007-01,7.47330,
2007-02,7.55235,
2007-03,7.58250,
2007-04,7.66185,
2007-05,7.62740,
2007-06,7.64225,
2007-07,7.66795,
2007-08,7.64085,
2007-09,7.80945,
2007-10,7.89160,
2007-11,7.96680,
2007-12,7.99860,
2008-01,7.99615,
2008-02,8.10840,
2008-03,8.24695,
2008-04,8.23175,
2008-05,8.23210,
2008-06,8.30290,
2008-07,8.26715,
2008-08,8.07535,
2008-09,7.92305,
2008-10,7.45075,
2008-11,7.43965,
2008-12,7.82730,
2009-01,7.48775,
2009-02,7.45865,
2009-03,7.60865,
2009-04,7.60855,
2009-05,7.75635,
2009-06,7.79255,
2009-07,7.78600,
2009-08,7.89285,
2009-09,7.92540,
2009-10,8.00650,
2009-11,8.04855,
2009-12,7.88830,
2010-01,7.72855,
2010-02,7.60160,
2010-03,7.62455,
2010-04,7.55235,
2010-05,7.21835,
2010-06,7.10605,
2010-07,7.38075,
2010-08,7.23190,
2010-09,7.53520,
2010-10,7.64175,
2010-11,7.43745,
2010-12,7.41035,
2011-01,7.53165,
2011-02,7.53480,
2011-03,7.66500,
2011-04,7.84935,
2011-05,7.69545,
2011-06,7.76075,
2011-07,7.65195,
2011-08,7.69515,
2011-09,7.46540,
2011-10,7.61970,
2011-11,7.37230,
2011-12,7.23745,
2012-01,7.28060,
2012-02,7.43630,
2012-03,7.38180,
2012-04,1091.00000,comment
2012-05,1040.20000,
2012-06,1089.50000,
2012-07,1073.00000,
2012-08,1091.20000,
2012-09,1111.80000,
2012-10,1102.80000,
2012-11,1103.10000,
2012-12,1134.00000,
2013-01,1164.10000,
2013-02,1133.20000,
2013-03,1122.35825,
2013-04,1165.36880,
2013-05,1225.81550,
2013-06,1263.10000,
2013-07,1293.20000,
2013-08,1287.00000,
2013-09,1313.40000,
2013-10,1334.30000,
2013-11,1337.10000,
2013-12,1363.20000,
2014-01,1337.90000,
2014-02,1348.60000,
2014-03,1325.90000,
2014-04,1328.50000,
2014-05,1314.10000,
2014-06,1327.50000,
2014-07,1302.30000,
2014-08,1278.80000,
2014-09,1258.60000,
2014-10,1267.70000,
2014-11,1279.90000,
2014-12,1247.60000,
2015-01,1161.30000,
2015-02,1151.40000,
"","General: * Until March 2012, in addition to the official published rates, there were other rates which deviated substantially from the official rates; however, we do not have any details. At the beginning of April 2012, a managed floating exchange rate regime was introduced; since then, indicative rates have been published.",
"","Source: Central Bank of Myanmar, Nay Pyi Taw (until October 2009: Yangon); until March 2012, calculated on the basis of buying and selling rates.",
"","Comment on 2012-04: At the beginning of April 2012, a managed floating exchange rate regime was introduced; an indicative rate of EUR 1 = MMK 1,063.40 was published for 2 April 2012.",
