"",BBK01.OEAD17Q,BBK01.OEAD17Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:19,
2002-01,0.165,
2002-04,0.190,
2002-07,0.201,
2002-10,0.162,
2003-01,0.157,
2003-04,0.155,
2003-07,0.171,
2003-10,0.147,
2004-01,0.162,
2004-04,0.155,
2004-07,0.156,
2004-10,0.157,
2005-01,0.185,
2005-04,0.183,
2005-07,0.192,
2005-10,0.135,
2006-01,0.152,
2006-04,0.165,
2006-07,0.180,
2006-10,0.139,
2007-01,0.134,
2007-04,0.107,
2007-07,0.103,
2007-10,0.102,
2008-01,0.097,
2008-04,0.093,
2008-07,0.093,
2008-10,0.085,
2009-01,0.086,
2009-04,0.075,
2009-07,0.066,
2009-10,0.060,
2010-01,0.083,
2010-04,0.085,
2010-07,0.082,
2010-10,0.069,
2011-01,0.071,
2011-04,0.072,
2011-07,0.076,
2011-10,0.059,
2012-01,0.072,
2012-04,0.085,
2012-07,0.083,
2012-10,0.078,
2013-01,0.073,
2013-04,0.079,
2013-07,0.087,
2013-10,0.072,
2014-01,0.068,
2014-04,0.072,
2014-07,0.084,
