"",BBFN1.M.DE.N.1.A.SE.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SE.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Sweden,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:20,
1994-07,1.039,
1994-08,1.185,
1994-09,1.323,
1994-10,1.383,
1994-11,1.440,
1994-12,1.459,
1995-01,1.453,
1995-02,1.455,
1995-03,1.522,
1995-04,1.489,
1995-05,1.483,
1995-06,1.518,
1995-07,1.347,
1995-08,1.448,
1995-09,1.532,
1995-10,1.562,
1995-11,1.579,
1995-12,1.443,
1996-01,1.361,
1996-02,1.432,
1996-03,1.521,
1996-04,1.496,
1996-05,1.479,
1996-06,1.433,
1996-07,1.273,
1996-08,1.306,
1996-09,1.470,
1996-10,1.605,
1996-11,1.732,
1996-12,1.592,
1997-01,1.543,
1997-02,1.498,
1997-03,1.532,
1997-04,1.588,
1997-05,1.535,
1997-06,1.569,
1997-07,1.429,
1997-08,1.478,
1997-09,1.614,
1997-10,1.708,
1997-11,1.837,
1997-12,1.690,
1998-01,1.530,
1998-02,1.612,
1998-03,1.658,
1998-04,1.668,
1998-05,1.665,
1998-06,1.639,
1998-07,1.531,
1998-08,1.577,
1998-09,1.713,
1998-10,1.744,
1998-11,1.795,
1998-12,2.170,
1999-01,1.992,
1999-02,1.745,
1999-03,1.845,
1999-04,1.884,
1999-05,1.822,
1999-06,1.803,
1999-07,1.586,
1999-08,1.630,
1999-09,1.772,
1999-10,1.909,
1999-11,2.020,
1999-12,1.861,
2000-01,1.743,
2000-02,1.853,
2000-03,1.907,
2000-04,1.951,
2000-05,2.008,
2000-06,1.971,
2000-07,1.845,
2000-08,1.884,
2000-09,2.064,
2000-10,2.098,
2000-11,2.095,
2000-12,2.077,
2001-01,1.937,
2001-02,1.972,
2001-03,2.066,
2001-04,1.969,
2001-05,1.979,
2001-06,1.963,
2001-07,1.809,
2001-08,1.814,
2001-09,1.879,
2001-10,1.989,
2001-11,2.058,
2001-12,1.959,
2002-01,1.722,
2002-02,1.876,
2002-03,1.806,
2002-04,1.850,
2002-05,1.800,
2002-06,1.871,
2002-07,1.631,
2002-08,1.630,
2002-09,1.821,
2002-10,1.892,
2002-11,1.989,
2002-12,1.876,
2003-01,1.787,
2003-02,1.905,
2003-03,1.956,
2003-04,1.974,
2003-05,1.948,
2003-06,1.910,
2003-07,1.655,
2003-08,1.756,
2003-09,1.934,
2003-10,1.971,
2003-11,1.993,
2003-12,1.911,
2004-01,1.790,
2004-02,1.928,
2004-03,2.075,
2004-04,2.049,
2004-05,2.136,
2004-06,2.090,
2004-07,1.834,
2004-08,1.876,
2004-09,2.011,
2004-10,2.096,
2004-11,2.191,
2004-12,2.029,
2005-01,1.882,
2005-02,1.921,
2005-03,2.136,
2005-04,2.131,
2005-05,2.119,
2005-06,2.164,
2005-07,1.918,
2005-08,1.914,
2005-09,2.082,
2005-10,2.223,
2005-11,2.245,
2005-12,2.197,
2006-01,2.067,
2006-02,2.236,
2006-03,2.361,
2006-04,2.301,
2006-05,2.309,
2006-06,2.305,
2006-07,2.050,
2006-08,2.078,
2006-09,2.391,
2006-10,2.456,
2006-11,2.551,
2006-12,2.533,
2007-01,2.442,
2007-02,2.502,
2007-03,2.643,
2007-04,2.559,
2007-05,2.669,
2007-06,2.668,
2007-07,2.347,
2007-08,2.437,
2007-09,2.632,
2007-10,2.866,
2007-11,2.898,
2007-12,2.832,
2008-01,2.624,
2008-02,2.720,
2008-03,2.809,
2008-04,2.907,
2008-05,3.010,
2008-06,2.929,
2008-07,2.538,
2008-08,2.605,
2008-09,2.831,
2008-10,2.828,
2008-11,2.783,
2008-12,2.539,
2009-01,2.294,
2009-02,2.126,
2009-03,2.309,
2009-04,2.092,
2009-05,2.115,
2009-06,2.173,
2009-07,2.171,
2009-08,1.982,
2009-09,2.098,
2009-10,2.248,
2009-11,2.299,
2009-12,2.135,
2010-01,2.002,
2010-02,2.146,
2010-03,2.446,
2010-04,2.321,
2010-05,2.383,
2010-06,2.597,
2010-07,2.396,
2010-08,2.337,
2010-09,2.584,
2010-10,2.719,
2010-11,2.786,
2010-12,2.707,
2011-01,2.587,
2011-02,2.660,
2011-03,2.690,
2011-04,2.821,
2011-05,2.844,
2011-06,2.775,
2011-07,2.503,
2011-08,2.513,
2011-09,2.714,
2011-10,2.707,
2011-11,2.768,
2011-12,2.746,
2012-01,2.615,
2012-02,2.707,
2012-03,2.998,
2012-04,2.758,
2012-05,2.632,
2012-06,2.795,
2012-07,2.529,
2012-08,2.581,
2012-09,2.823,
2012-10,2.787,
2012-11,2.824,
2012-12,2.597,
2013-01,2.467,
2013-02,2.728,
2013-03,3.029,
2013-04,2.890,
2013-05,2.786,
2013-06,2.900,
2013-07,2.586,
2013-08,2.647,
2013-09,2.919,
2013-10,2.849,
2013-11,2.866,
2013-12,2.773,
2014-01,2.689,
2014-02,2.869,
2014-03,2.930,
2014-04,2.908,
2014-05,2.814,
2014-06,2.790,
2014-07,2.721,
2014-08,2.662,
2014-09,2.884,
2014-10,2.903,
2014-11,2.936,
2014-12,2.800,
