"",BBEX3.M.ALL.USD.CA.AC.A01,BBEX3.M.ALL.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Albania / USD 1 = ALL ... (middle),
unit,ALL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:34,
1992-12,99.5000,
1993-01,107.0000,
1993-02,105.9900,
1993-03,107.0100,
1993-04,102.9100,
1993-05,105.6250,
1993-06,105.5000,
1993-07,104.4800,
1993-08,100.0100,
1993-09,98.0085,
1993-10,96.5460,
1993-11,99.5000,
1993-12,98.6750,
1994-01,100.6900,
1994-02,101.5000,
1994-03,100.5200,
1994-04,100.8400,
1994-05,98.8500,
1994-06,93.2600,
1994-07,90.4300,
1994-08,86.0000,
1994-09,84.7200,
1994-10,88.7200,
1994-11,94.6300,
1994-12,94.6900,
1995-01,94.2500,
1995-02,92.6900,
1995-03,93.4000,
1995-04,92.6500,
1995-05,92.5700,
1995-06,91.8100,
1995-07,90.4400,
1995-08,92.5300,
1995-09,93.3200,
1995-10,91.5000,
1995-11,94.2200,
1995-12,94.2400,
1996-01,97.1900,
1996-02,97.7600,
1996-03,100.5200,
1996-04,104.6400,
1996-05,109.3500,
1996-06,111.7100,
1996-07,111.4200,
1996-08,108.0300,
1996-09,107.7900,
1996-10,104.9100,
1996-11,100.4100,
1996-12,102.8800,
1997-01,128.0800,
1997-02,144.1300,
1997-03,148.5000,
1997-04,148.3300,
1997-05,175.1000,
1997-06,178.7400,
1997-07,145.1700,
1997-08,155.6900,
1997-09,147.2300,
1997-10,145.0800,
1997-11,144.5800,
1997-12,147.5700,
1998-01,152.8900,
1998-02,158.5100,
1998-03,160.1700,
1998-04,158.2300,
1998-05,154.5100,
1998-06,152.7500,
1998-07,148.4300,
1998-08,149.9200,
1998-09,146.1600,
1998-10,141.2300,
1998-11,141.2100,
1998-12,140.5800,
1999-01,139.6000,
1999-02,141.1000,
1999-03,147.6700,
1999-04,144.1500,
1999-05,139.9500,
1999-06,136.8800,
1999-07,135.0900,
1999-08,135.7000,
1999-09,134.1000,
1999-10,133.9300,
1999-11,135.4800,
1999-12,135.1200,
2000-01,139.6700,
2000-02,139.9700,
2000-03,141.0500,
2000-04,144.8200,
2000-05,144.9700,
2000-06,139.6200,
2000-07,141.4800,
2000-08,147.0100,
