"",BBK01.OEAC52V,BBK01.OEAC52V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:16,
2002-01,0.504,
2002-04,0.497,
2002-07,0.484,
2002-10,0.473,
2003-01,0.460,
2003-04,0.458,
2003-07,0.469,
2003-10,0.476,
2004-01,0.465,
2004-04,0.464,
2004-07,0.460,
2004-10,0.394,
2005-01,0.413,
2005-04,0.394,
2005-07,0.386,
2005-10,0.375,
2006-01,0.377,
2006-04,0.347,
2006-07,0.335,
2006-10,0.338,
2007-01,0.335,
2007-04,0.336,
2007-07,0.334,
2007-10,0.336,
2008-01,0.336,
2008-04,0.337,
2008-07,0.330,
2008-10,0.300,
2009-01,0.246,
2009-04,0.253,
2009-07,0.274,
2009-10,0.265,
2010-01,0.295,
2010-04,0.291,
2010-07,0.317,
2010-10,0.331,
2011-01,0.306,
2011-04,0.305,
2011-07,0.294,
2011-10,0.304,
2012-01,0.303,
2012-04,0.315,
2012-07,0.318,
2012-10,0.326,
2013-01,0.329,
2013-04,0.326,
2013-07,0.333,
2013-10,0.340,
2014-01,0.347,
2014-04,0.358,
2014-07,0.357,
