"",BBFB1.Q.N.DE.GB.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:07,
1991-01,1296.366,
1991-04,1347.106,
1991-07,1341.377,
1991-10,1339.295,
1992-01,1401.977,
1992-04,1314.175,
1992-07,1218.570,
1992-10,1414.001,
1993-01,1455.827,
1993-04,1239.084,
1993-07,1466.903,
1993-10,1503.619,
1994-01,1439.186,
1994-04,1273.163,
1994-07,1324.920,
1994-10,1276.662,
1995-01,1610.200,
1995-04,1296.668,
1995-07,1352.959,
1995-10,1498.942,
1996-01,1529.923,
1996-04,1486.445,
1996-07,1556.758,
1996-10,1699.389,
1997-01,1654.999,
1997-04,1755.478,
1997-07,1869.386,
1997-10,1891.214,
1998-01,1915.266,
1998-04,1826.044,
1998-07,2153.841,
1998-10,2277.217,
1999-01,1765.785,
1999-04,2150.569,
1999-07,2606.758,
1999-10,2449.215,
2000-01,2461.914,
2000-04,2434.041,
2000-07,2475.955,
2000-10,2839.572,
2001-01,2607.534,
2001-04,2537.419,
2001-07,2700.576,
2001-10,3260.164,
2002-01,3063.316,
2002-04,3398.568,
2002-07,3331.221,
2002-10,3832.239,
2003-01,2919.002,
2003-04,2780.864,
2003-07,2967.855,
2003-10,3710.624,
2004-01,3153.476,
2004-04,3656.795,
2004-07,3582.020,
2004-10,3982.695,
2005-01,3286.374,
2005-04,3331.191,
2005-07,3595.845,
2005-10,3933.406,
2006-01,3920.846,
2006-04,3962.030,
2006-07,4387.323,
2006-10,4754.168,
2007-01,3973.167,
2007-04,4457.472,
2007-07,4401.370,
2007-10,4955.665,
2008-01,4146.303,
2008-04,4173.716,
2008-07,4310.320,
2008-10,5054.335,
2009-01,4175.624,
2009-04,3995.579,
2009-07,4242.746,
2009-10,5042.047,
2010-01,4049.906,
2010-04,4534.441,
2010-07,4793.796,
2010-10,4900.178,
2011-01,4316.207,
2011-04,4333.294,
2011-07,4473.047,
2011-10,5547.361,
2012-01,4633.919,
2012-04,4735.364,
2012-07,5138.016,
2012-10,5199.900,
2013-01,4687.131,
2013-04,4808.596,
2013-07,5059.317,
2013-10,5250.946,
2014-01,4546.463,Provisional value
2014-04,4913.107,Provisional value
2014-07,4986.507,Provisional value
