"",BBK01.OECL03S,BBK01.OECL03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:36,
2002-01,0.091,
2002-04,0.085,
2002-07,0.084,
2002-10,0.058,
2003-01,0.053,
2003-04,0.056,
2003-07,0.049,
2003-10,0.047,
2004-01,0.040,
2004-04,0.036,
2004-07,0.034,
2004-10,0.043,
2005-01,0.189,
2005-04,0.188,
2005-07,0.173,
2005-10,0.171,
2006-01,0.167,
2006-04,0.169,
2006-07,0.176,
2006-10,0.190,
2007-01,0.216,
2007-04,0.222,
2007-07,0.251,
2007-10,0.292,
2008-01,0.331,
2008-04,0.350,
2008-07,0.435,
2008-10,0.461,
2009-01,0.435,
2009-04,0.406,
2009-07,0.323,
2009-10,0.267,
2010-01,0.211,
2010-04,0.190,
2010-07,0.165,
2010-10,0.145,
2011-01,0.143,
2011-04,0.129,
2011-07,0.105,
2011-10,0.141,
2012-01,0.148,
2012-04,0.143,
2012-07,0.138,
2012-10,0.093,
2013-01,0.067,
2013-04,0.065,
2013-07,0.058,
2013-10,0.053,
2014-01,0.049,
2014-04,0.056,
2014-07,0.050,
