"",BBK01.OECL08J,BBK01.OECL08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:06,
2002-01,0.205,
2002-04,0.120,
2002-07,0.120,
2002-10,0.135,
2003-01,0.137,
2003-04,0.137,
2003-07,0.153,
2003-10,0.149,
2004-01,0.141,
2004-04,0.136,
2004-07,0.182,
2004-10,0.183,
2005-01,0.480,
2005-04,0.480,
2005-07,0.474,
2005-10,0.464,
2006-01,0.460,
2006-04,0.456,
2006-07,0.449,
2006-10,0.451,
2007-01,0.469,
2007-04,0.471,
2007-07,0.462,
2007-10,0.470,
2008-01,0.466,
2008-04,0.471,
2008-07,0.450,
2008-10,0.451,
2009-01,0.456,
2009-04,0.481,
2009-07,0.573,
2009-10,0.547,
2010-01,0.556,
2010-04,0.541,
2010-07,0.544,
2010-10,0.555,
2011-01,0.547,
2011-04,0.525,
2011-07,0.517,
2011-10,0.512,
2012-01,0.595,
2012-04,0.579,
2012-07,0.576,
2012-10,0.583,
2013-01,0.543,
2013-04,0.534,
2013-07,0.519,
2013-10,0.521,
2014-01,0.506,
2014-04,0.499,
2014-07,0.513,
