"",BBK01.OEAH51H,BBK01.OEAH51H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:02,
2002-01,0.268,
2002-04,0.277,
2002-07,0.281,
2002-10,0.276,
2003-01,0.252,
2003-04,0.232,
2003-07,0.221,
2003-10,0.214,
2004-01,0.203,
2004-04,0.183,
2004-07,0.172,
2004-10,0.175,
2005-01,0.173,
2005-04,0.172,
2005-07,0.174,
2005-10,0.171,
2006-01,0.223,
2006-04,0.297,
2006-07,0.374,
2006-10,0.481,
2007-01,0.591,
2007-04,0.675,
2007-07,0.772,
2007-10,0.900,
2008-01,0.994,
2008-04,1.083,
2008-07,1.172,
2008-10,1.268,
2009-01,1.052,
2009-04,0.783,
2009-07,0.565,
2009-10,0.439,
2010-01,0.368,
2010-04,0.311,
2010-07,0.290,
2010-10,0.283,
2011-01,0.311,
2011-04,0.343,
2011-07,0.363,
2011-10,0.384,
2012-01,0.355,
2012-04,0.312,
2012-07,0.275,
2012-10,0.239,
2013-01,0.181,
2013-04,0.146,
2013-07,0.131,
2013-10,0.119,
2014-01,0.119,
2014-04,0.107,
2014-07,0.127,
