"",BBEX3.M.INR.USD.CA.AA.A01,BBEX3.M.INR.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in India / USD 1 = INR ... (buying),
unit,INR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:00,
1993-08,31.27,
1993-09,31.27,
1993-10,31.27,
1993-11,31.27,
1993-12,31.27,
1994-01,31.27,
1994-02,31.27,
1994-03,31.27,
1994-04,31.27,
1994-05,31.27,
1994-06,31.27,
1994-07,31.27,
1994-08,31.27,
1994-09,31.27,
1994-10,31.27,
1994-11,31.27,
1994-12,31.27,
1995-01,31.27,
1995-02,31.27,
1995-03,31.37,
1995-04,31.32,
1995-05,31.27,
1995-06,31.32,
1995-07,31.27,
1995-08,31.72,
1995-09,33.67,
1995-10,34.47,
1995-11,34.70,
1995-12,34.90,
1996-01,35.90,
1996-02,34.97,
1996-03,34.07,
1996-04,34.07,
1996-05,34.82,
1996-06,34.77,
1996-07,35.42,
1996-08,35.47,
1996-09,35.42,
1996-10,35.43,
1996-11,35.50,
1996-12,35.72,
1997-01,35.72,
1997-02,35.73,
1997-03,35.76,
1997-04,35.67,
1997-05,35.62,
1997-06,35.70,
1997-07,35.57,
1997-08,36.10,
1997-09,36.06,
1997-10,36.22,
1997-11,38.40,
1997-12,39.04,
1998-01,38.71,
1998-02,39.12,
1998-03,39.34,
1998-04,39.59,
1998-05,41.31,
1998-06,42.34,
1998-07,42.41,
1998-08,42.40,
1998-09,42.32,
1998-10,42.19,
1998-11,42.45,
1998-12,42.43,
1999-01,42.38,
1999-02,42.33,
1999-03,42.28,
1999-04,42.65,
1999-05,42.87,
1999-06,43.21,
1999-07,43.13,
1999-08,43.34,
1999-09,43.43,
1999-10,43.25,
1999-11,43.26,
1999-12,43.37,
2000-01,43.47,
2000-02,43.46,
2000-03,43.46,
2000-04,43.51,
2000-05,44.34,
2000-06,44.49,
2000-07,44.70,
2000-08,45.60,
2000-09,45.90,
2000-10,46.55,
2000-11,46.72,
2000-12,46.56,
2001-01,46.26,
2001-02,46.49,
2001-03,46.43,
2001-04,46.70,
2001-05,46.82,
2001-06,46.88,
2001-07,47.00,
2001-08,46.99,
2001-09,47.66,
2001-10,47.84,
2001-11,47.80,
2001-12,48.10,
2002-01,48.38,
2002-02,48.58,
2002-03,48.50,
2002-04,48.84,
2002-05,48.84,
2002-06,48.67,
2002-07,48.51,
2002-08,48.37,
2002-09,48.23,
2002-10,48.22,
2002-11,48.10,
2002-12,47.77,
2003-01,47.61,
2003-02,47.49,
2003-03,47.37,
2003-04,47.19,
2003-05,46.83,
2003-06,46.23,
2003-07,45.95,
2003-08,45.66,
2003-09,45.65,
2003-10,45.14,
2003-11,45.75,
2003-12,45.38,
2004-01,45.13,
2004-02,45.07,
2004-03,43.86,
2004-04,44.14,
2004-05,45.19,
2004-06,45.88,
2004-07,46.30,
2004-08,46.21,
2004-09,46.01,
2004-10,45.34,
2004-11,44.58,
2004-12,43.50,
2005-01,43.60,
2005-02,43.53,
2005-03,43.63,
2005-04,43.55,
2005-05,43.53,
2005-06,43.39,
2005-07,43.35,
2005-08,43.87,
2005-09,43.91,
2005-10,44.99,
2005-11,45.78,
2005-12,44.95,
2006-01,43.91,
2006-02,44.37,
2006-03,44.45,
2006-04,44.81,
2006-05,46.18,
2006-06,45.83,
2006-07,46.29,
2006-08,46.32,
2006-09,45.76,
2006-10,44.80,
2006-11,44.55,
2006-12,43.91,
2007-01,43.96,
2007-02,44.15,
2007-03,43.17,
2007-04,41.12,
2007-05,40.54,
2007-06,40.54,
2007-07,40.20,
2007-08,40.76,
2007-09,39.55,
2007-10,39.02,
2007-11,39.46,
2007-12,39.17,
2008-01,39.21,
2008-02,39.67,
2008-03,39.52,
2008-04,40.07,
2008-05,42.27,
2008-06,42.64,
2008-07,42.17,
2008-08,43.42,
2008-09,46.41,
2008-10,48.91,
2008-11,49.41,
2008-12,48.14,
2009-01,48.66,
2009-02,50.11,
2009-03,50.96,
2009-04,49.31,
2009-05,47.06,
2009-06,47.41,
2009-07,47.76,
2009-08,48.39,
2009-09,47.56,
2009-10,46.41,
2009-11,45.94,
2009-12,46.21,
2010-01,45.89,
2010-02,45.86,
2010-03,44.67,
2010-04,44.00,
2010-05,45.98,
2010-06,46.19,
2010-07,46.01,
2010-08,46.56,
2010-09,44.44,
2010-10,44.07,
2010-11,45.52,
2010-12,44.37,
2011-01,45.48,
2011-02,44.84,
2011-03,44.23,
2011-04,44.03,
2011-05,44.58,
2011-06,44.34,
2011-07,43.69,
2011-08,45.51,
2011-09,48.49,
2011-10,48.15,
2011-11,51.66,
2011-12,52.43,
2012-01,49.19,
2012-02,48.46,
2012-03,50.71,
2012-04,52.06,
2012-05,55.96,
2012-06,.,No value available
2012-07,55.01,
2012-08,55.26,
2012-09,52.31,
2012-10,53.61,
2012-11,53.96,
2012-12,54.34,
2013-01,52.63,
2013-02,53.61,
2013-03,53.98,
2013-04,53.73,
2013-05,56.03,
2013-06,59.40,
2013-07,60.60,
2013-08,65.55,
2013-09,62.05,
2013-10,61.00,
2013-11,61.90,
2013-12,61.54,
2014-01,62.20,
2014-02,61.68,
2014-03,59.64,
2014-04,59.90,
2014-05,58.55,
2014-06,59.65,
2014-07,59.80,
2014-08,60.10,
2014-09,61.15,
2014-10,61.00,
2014-11,61.50,
2014-12,62.95,
2015-01,61.41,
"","Source: State Bank of India, Frankfurt am Main.",
