"",BBK01.OXA8Y2,BBK01.OXA8Y2_FLAGS
"",Transferable deposits of domestic banks (MFIs) Overnight deposits - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:12,
2010-06,36.622,
2010-07,30.781,
2010-08,31.238,
2010-09,34.548,
2010-10,28.476,
2010-11,33.175,
2010-12,35.493,
2011-01,37.071,
2011-02,30.408,
2011-03,30.601,
2011-04,29.672,
2011-05,28.760,
2011-06,30.449,
2011-07,32.042,
2011-08,29.261,
2011-09,32.276,
2011-10,31.170,
2011-11,33.452,
2011-12,31.206,
2012-01,34.179,
2012-02,33.554,
2012-03,32.604,
2012-04,35.151,
2012-05,31.297,
2012-06,32.723,
2012-07,33.150,
2012-08,34.288,
2012-09,35.810,
2012-10,41.891,
2012-11,48.842,
2012-12,42.378,
2013-01,37.810,
2013-02,37.895,
2013-03,35.655,
2013-04,33.930,
2013-05,35.031,
2013-06,34.489,
2013-07,31.993,
2013-08,34.306,
2013-09,32.682,
2013-10,34.084,
2013-11,38.627,
2013-12,40.321,
2014-01,35.434,
2014-02,34.963,
2014-03,31.064,
2014-04,35.299,
2014-05,35.497,
2014-06,32.414,
2014-07,33.163,
2014-08,35.426,
2014-09,34.419,
2014-10,37.341,
2014-11,39.243,
2014-12,42.026,Provisional value
