"",BBK01.OEXI09H,BBK01.OEXI09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:20,
2002-01,1.439,
2002-04,1.337,
2002-07,1.413,
2002-10,1.370,
2003-01,1.236,
2003-04,1.105,
2003-07,1.022,
2003-10,1.003,
2004-01,0.982,
2004-04,0.893,
2004-07,0.858,
2004-10,0.851,
2005-01,0.885,
2005-04,0.859,
2005-07,0.779,
2005-10,0.797,
2006-01,0.832,
2006-04,0.901,
2006-07,0.971,
2006-10,1.082,
2007-01,1.446,
2007-04,1.612,
2007-07,1.780,
2007-10,2.015,
2008-01,2.159,
2008-04,2.214,
2008-07,2.320,
2008-10,3.294,
2009-01,3.260,
2009-04,3.183,
2009-07,3.179,
2009-10,2.611,
2010-01,2.071,
2010-04,2.010,
2010-07,1.957,
2010-10,2.447,
2011-01,2.862,
2011-04,2.951,
2011-07,2.964,
2011-10,2.849,
2012-01,2.631,
2012-04,2.662,
2012-07,2.559,
2012-10,2.240,
2013-01,1.950,
2013-04,1.689,
2013-07,1.581,
2013-10,1.514,
2014-01,1.434,
2014-04,1.364,
2014-07,1.636,
