"",BBK01.OECB12V,BBK01.OECB12V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:24,
2002-01,1.858,
2002-04,1.815,
2002-07,1.826,
2002-10,1.763,
2003-01,1.614,
2003-04,1.573,
2003-07,1.515,
2003-10,1.490,
2004-01,1.451,
2004-04,1.500,
2004-07,1.538,
2004-10,1.249,
2005-01,1.255,
2005-04,1.240,
2005-07,1.268,
2005-10,1.206,
2006-01,1.160,
2006-04,1.429,
2006-07,1.340,
2006-10,1.362,
2007-01,1.340,
2007-04,1.243,
2007-07,1.281,
2007-10,1.292,
2008-01,1.294,
2008-04,1.318,
2008-07,1.379,
2008-10,1.365,
2009-01,1.371,
2009-04,2.890,
2009-07,2.817,
2009-10,2.991,
2010-01,2.886,
2010-04,2.865,
2010-07,1.641,
2010-10,1.561,
2011-01,1.960,
2011-04,1.970,
2011-07,1.929,
2011-10,1.835,
2012-01,1.818,
2012-04,1.805,
2012-07,1.783,
2012-10,1.773,
2013-01,1.794,
2013-04,1.777,
2013-07,1.742,
2013-10,1.848,
2014-01,1.837,
2014-04,1.807,
2014-07,1.704,
