"",BBK01.OEAA24S,BBK01.OEAA24S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:04,
2002-01,1.176,
2002-04,1.194,
2002-07,1.217,
2002-10,1.234,
2003-01,1.245,
2003-04,1.261,
2003-07,1.274,
2003-10,1.287,
2004-01,1.297,
2004-04,1.312,
2004-07,1.331,
2004-10,2.769,
2005-01,2.767,
2005-04,2.750,
2005-07,2.761,
2005-10,2.766,
2006-01,2.757,
2006-04,2.738,
2006-07,2.735,
2006-10,2.770,
2007-01,2.758,
2007-04,2.702,
2007-07,2.688,
2007-10,2.682,
2008-01,2.656,
2008-04,2.629,
2008-07,2.609,
2008-10,2.573,
2009-01,2.565,
2009-04,2.548,
2009-07,2.528,
2009-10,2.527,
2010-01,2.511,
2010-04,2.489,
2010-07,2.454,
2010-10,2.416,
2011-01,2.401,
2011-04,2.395,
2011-07,2.382,
2011-10,2.398,
2012-01,2.393,
2012-04,2.382,
2012-07,2.368,
2012-10,2.372,
2013-01,2.361,
2013-04,2.334,
2013-07,2.317,
2013-10,2.300,
2014-01,2.292,
2014-04,2.269,
2014-07,2.221,
