"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F519._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F519._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Other / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:07,
1991-01,79.489,
1991-02,37.999,
1991-03,127.746,
1991-04,34.124,
1991-05,128.870,
1991-06,221.781,
1991-07,123.812,
1991-08,132.702,
1991-09,82.758,
1991-10,87.609,
1991-11,156.742,
1991-12,133.675,
1992-01,100.188,
1992-02,126.745,
1992-03,59.304,
1992-04,133.866,
1992-05,129.053,
1992-06,106.676,
1992-07,237.859,
1992-08,160.553,
1992-09,149.019,
1992-10,111.151,
1992-11,238.020,
1992-12,448.984,
1993-01,71.859,
1993-02,107.002,
1993-03,108.637,
1993-04,171.597,
1993-05,285.666,
1993-06,193.549,
1993-07,46.965,
1993-08,252.645,
1993-09,215.992,
1993-10,456.228,
1993-11,229.557,
1993-12,124.952,
1994-01,142.063,
1994-02,27.842,
1994-03,425.894,
1994-04,306.913,
1994-05,285.934,
1994-06,284.841,
1994-07,351.871,
1994-08,157.831,
1994-09,310.867,
1994-10,228.020,
1994-11,90.278,
1994-12,229.801,
1995-01,243.852,
1995-02,221.190,
1995-03,224.976,
1995-04,140.315,
1995-05,160.682,
1995-06,382.741,
1995-07,194.356,
1995-08,335.618,
1995-09,43.168,
1995-10,137.811,
1995-11,276.261,
1995-12,279.988,
1996-01,183.516,
1996-02,502.451,
1996-03,181.803,
1996-04,295.560,
1996-05,398.689,
1996-06,78.455,
1996-07,260.389,
1996-08,477.545,
1996-09,419.127,
1996-10,225.467,
1996-11,390.063,
1996-12,184.285,
1997-01,258.516,
1997-02,549.039,
1997-03,304.645,
1997-04,209.286,
1997-05,189.432,
1997-06,764.123,
1997-07,372.074,
1997-08,158.734,
1997-09,208.185,
1997-10,393.146,
1997-11,413.461,
1997-12,549.828,
1998-01,524.611,
1998-02,198.866,
1998-03,325.891,
1998-04,549.765,
1998-05,618.537,
1998-06,193.767,
1998-07,621.039,
1998-08,337.109,
1998-09,-43.216,
1998-10,434.475,
1998-11,660.968,
1998-12,494.936,
1999-01,479.941,
1999-02,487.439,
1999-03,511.620,
1999-04,434.584,
1999-05,666.620,
1999-06,439.606,
1999-07,782.226,
1999-08,674.655,
1999-09,675.879,
1999-10,660.631,
1999-11,344.838,
1999-12,1193.733,
2000-01,497.158,
2000-02,369.779,
2000-03,633.436,
2000-04,395.158,
2000-05,1076.822,
2000-06,504.308,
2000-07,415.641,
2000-08,216.444,
2000-09,386.554,
2000-10,591.418,
2000-11,568.825,
2000-12,774.496,
2001-01,363.169,
2001-02,327.201,
2001-03,380.636,
2001-04,286.031,
2001-05,424.267,
2001-06,675.033,
2001-07,480.626,
2001-08,477.566,
2001-09,454.712,
2001-10,243.190,
2001-11,319.843,
2001-12,880.666,
2002-01,542.952,
2002-02,229.878,
2002-03,645.662,
2002-04,639.564,
2002-05,1051.229,
2002-06,981.889,
2002-07,1044.076,
2002-08,475.018,
2002-09,716.467,
2002-10,443.959,
2002-11,694.616,
2002-12,1210.430,
2003-01,686.544,
2003-02,372.354,
2003-03,929.203,
2003-04,1200.735,
2003-05,649.482,
2003-06,497.198,
2003-07,958.254,
2003-08,397.883,
2003-09,302.146,
2003-10,918.914,
2003-11,1026.017,
2003-12,1412.008,
2004-01,597.230,
2004-02,747.118,
2004-03,62.741,
2004-04,917.008,
2004-05,645.798,
2004-06,1756.109,
2004-07,716.051,
2004-08,385.794,
2004-09,630.299,
2004-10,253.505,
2004-11,1021.011,
2004-12,450.957,
2005-01,108.950,
2005-02,290.683,
2005-03,64.797,
2005-04,441.914,
2005-05,757.714,
2005-06,1007.689,
2005-07,42.373,
2005-08,-303.419,
2005-09,451.818,
2005-10,677.531,
2005-11,476.262,
2005-12,-49.832,
2006-01,153.386,
2006-02,-76.212,
2006-03,-817.499,
2006-04,373.332,
2006-05,-997.038,
2006-06,-421.344,
2006-07,-412.752,
2006-08,43.639,
2006-09,-869.056,
2006-10,-428.684,
2006-11,201.178,
2006-12,-62.564,
2007-01,-3.308,
2007-02,-559.363,
2007-03,480.466,
2007-04,-1263.160,
2007-05,613.999,
2007-06,1116.119,
2007-07,775.033,
2007-08,598.807,
2007-09,67.860,
2007-10,28.732,
2007-11,292.979,
2007-12,759.321,
2008-01,730.051,
2008-02,680.810,
2008-03,515.557,
2008-04,371.516,
2008-05,703.727,
2008-06,530.462,
2008-07,891.984,
2008-08,326.280,
2008-09,982.607,
2008-10,-37.708,
2008-11,316.895,
2008-12,-578.810,
2009-01,550.272,
2009-02,25.641,
2009-03,351.278,
2009-04,58.896,
2009-05,423.407,
2009-06,111.768,
2009-07,529.806,
2009-08,288.250,
2009-09,569.001,
2009-10,60.427,
2009-11,50.315,
2009-12,707.478,
2010-01,409.594,
2010-02,204.650,
2010-03,481.994,
2010-04,356.625,
2010-05,35.205,
2010-06,127.456,
2010-07,247.132,
2010-08,177.117,
2010-09,164.923,
2010-10,32.357,
2010-11,7.293,
2010-12,-470.372,
