"",BBK01.QUA519,BBK01.QUA519_FLAGS
"",All foreign subsidiaries: Long-term loans and advances to non-residents / Slovakia / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:16:22,
2005-12,1.059,
2006-01,1.096,
2006-02,1.124,
2006-03,1.154,
2006-04,1.186,
2006-05,1.236,
2006-06,1.166,
2006-07,1.165,
2006-08,1.176,
2006-09,1.200,
2006-10,1.431,
2006-11,1.475,
2006-12,1.458,
2007-01,0.018,
2007-02,0.017,
2007-03,0.019,
2007-04,0.019,
2007-05,0.019,
2007-06,0.020,
2007-07,0.020,
2007-08,0.020,
2007-09,0.021,
2007-10,0.038,
2007-11,0.036,
2007-12,0.055,
2008-01,0.058,
2008-02,0.063,
2008-03,0.075,
2008-04,0.081,
2008-05,0.096,
2008-06,0.106,
2008-07,0.115,
2008-08,0.127,
2008-09,0.145,
2008-10,0.161,
2008-11,0.168,
2008-12,0.182,
2009-01,0.185,
2009-02,0.188,
2009-03,0.194,
2009-04,0.194,
2009-05,0.196,
2009-06,0.197,
2009-07,0.201,
2009-08,0.199,
2009-09,0.204,
2009-10,0.196,
2009-11,0.199,
2009-12,0.158,
2010-01,0.160,
2010-02,0.161,
2010-03,0.162,
2010-04,0.161,
2010-05,0.162,
2010-06,0.165,
2010-07,0.168,
2010-08,0.168,
2010-09,0.168,
2010-10,0.170,
2010-11,0.160,
2010-12,0.157,
2011-01,0.155,
2011-02,0.113,
2011-03,0.112,
2011-04,0.112,
2011-05,0.111,
2011-06,0.110,
2011-07,0.105,
2011-08,0.105,
2011-09,0.103,
2011-10,0.102,
2011-11,0.101,
2011-12,0.099,
2012-01,0.099,
2012-02,0.098,
2012-03,0.099,
2012-04,0.097,
2012-05,0.096,
2012-06,0.096,
2012-07,0.096,
2012-08,0.102,
2012-09,0.102,
2012-10,0.097,
2012-11,0.097,
2012-12,0.099,
2013-01,0.100,
2013-02,0.102,
2013-03,0.104,
2013-04,0.108,
2013-05,0.110,
2013-06,0.111,
2013-07,0.114,
2013-08,0.116,
2013-09,0.118,
2013-10,0.121,
2013-11,0.117,
2013-12,0.118,
2014-01,0.120,
2014-02,0.123,
2014-03,0.126,
2014-04,0.130,
2014-05,0.145,
2014-06,0.150,
2014-07,0.158,
2014-08,0.162,
2014-09,0.147,
2014-10,0.155,
2014-11,0.159,
