"",BBDE1.M.DE.Y.ASA1.P2XF00000.BA.H.ABA.A,BBDE1.M.DE.Y.ASA1.P2XF00000.BA.H.ABA.A_FLAGS
"",Hours worked by employed persons / Hours / Germany / Main construction industry / Calendar and seasonally adjusted,
unit,Stunden (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-25 09:28:33,
1991-01,149.5,
1991-02,120.7,
1991-03,136.2,
1991-04,134.1,
1991-05,132.5,
1991-06,131.4,
1991-07,132.4,
1991-08,131.1,
1991-09,132.1,
1991-10,132.8,
1991-11,135.3,
1991-12,136.0,
1992-01,140.9,
1992-02,148.9,
1992-03,144.7,
1992-04,141.1,
1992-05,141.8,
1992-06,139.8,
1992-07,135.6,
1992-08,139.8,
1992-09,139.0,
1992-10,136.0,
1992-11,138.4,
1992-12,147.8,
1993-01,138.7,
1993-02,138.1,
1993-03,143.2,
1993-04,142.6,
1993-05,143.1,
1993-06,141.3,
1993-07,139.4,
1993-08,144.5,
1993-09,142.8,
1993-10,144.4,
1993-11,134.6,
1993-12,138.3,
1994-01,153.2,
1994-02,140.0,
1994-03,158.1,
1994-04,150.5,
1994-05,148.7,
1994-06,149.8,
1994-07,147.2,
1994-08,150.2,
1994-09,149.1,
1994-10,153.7,
1994-11,158.0,
1994-12,152.7,
1995-01,135.0,
1995-02,158.0,
1995-03,150.3,
1995-04,150.1,
1995-05,148.2,
1995-06,145.9,
1995-07,145.8,
1995-08,145.5,
1995-09,142.3,
1995-10,143.5,
1995-11,148.8,
1995-12,129.5,
1996-01,118.8,
1996-02,108.4,
1996-03,117.6,
1996-04,136.1,
1996-05,137.9,
1996-06,141.3,
1996-07,135.7,
1996-08,137.3,
1996-09,137.2,
1996-10,131.7,
1996-11,131.0,
1996-12,132.8,
1997-01,106.7,
1997-02,123.0,
1997-03,123.9,
1997-04,125.5,
1997-05,125.3,
1997-06,126.1,
1997-07,126.7,
1997-08,123.6,
1997-09,124.7,
1997-10,123.7,
1997-11,122.1,
1997-12,121.7,
1998-01,119.3,
1998-02,116.7,
1998-03,119.3,
1998-04,115.6,
1998-05,117.5,
1998-06,118.4,
1998-07,118.1,
1998-08,116.4,
1998-09,115.5,
1998-10,113.7,
1998-11,112.0,
1998-12,108.7,
1999-01,118.9,
1999-02,104.7,
1999-03,116.8,
1999-04,113.9,
1999-05,113.8,
1999-06,113.3,
1999-07,114.2,
1999-08,112.6,
1999-09,112.1,
1999-10,113.2,
1999-11,110.9,
1999-12,110.4,
2000-01,109.8,
2000-02,116.5,
2000-03,109.9,
2000-04,109.0,
2000-05,109.0,
2000-06,104.3,
2000-07,105.3,
2000-08,105.3,
2000-09,103.0,
2000-10,100.3,
2000-11,104.2,
2000-12,103.6,
2001-01,99.9,
2001-02,102.2,
2001-03,93.2,
2001-04,91.8,
2001-05,95.9,
2001-06,94.6,
2001-07,92.8,
2001-08,94.1,
2001-09,93.0,
2001-10,92.8,
2001-11,90.4,
2001-12,90.8,
2002-01,88.4,
2002-02,92.9,
2002-03,89.0,
2002-04,87.2,
2002-05,85.6,
2002-06,84.1,
2002-07,82.8,
2002-08,83.9,
2002-09,84.3,
2002-10,81.8,
2002-11,82.7,
2002-12,78.6,
2003-01,79.9,
2003-02,75.3,
2003-03,82.7,
2003-04,81.9,
2003-05,79.9,
2003-06,81.2,
2003-07,81.1,
2003-08,78.6,
2003-09,78.9,
2003-10,77.9,
