"",BBK01.OEAB13L,BBK01.OEAB13L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:10,
2002-01,41.949,
2002-04,41.432,
2002-07,41.381,
2002-10,41.265,
2003-01,43.450,
2003-04,43.200,
2003-07,44.142,
2003-10,43.177,
2004-01,42.631,
2004-04,42.725,
2004-07,42.540,
2004-10,42.487,
2005-01,41.153,
2005-04,40.462,
2005-07,40.112,
2005-10,39.273,
2006-01,38.600,
2006-04,37.663,
2006-07,37.365,
2006-10,36.871,
2007-01,36.339,
2007-04,36.930,
2007-07,38.170,
2007-10,38.509,
2008-01,38.112,
2008-04,37.394,
2008-07,36.951,
2008-10,37.176,
2009-01,36.708,
2009-04,38.082,
2009-07,37.598,
2009-10,37.347,
2010-01,37.146,
2010-04,37.243,
2010-07,37.107,
2010-10,36.588,
2011-01,36.128,
2011-04,35.978,
2011-07,35.795,
2011-10,35.438,
2012-01,35.239,
2012-04,36.680,
2012-07,36.413,
2012-10,36.123,
2013-01,35.892,
2013-04,35.521,
2013-07,35.551,
2013-10,35.192,
2014-01,35.006,
2014-04,34.940,
2014-07,35.089,
