"",BBK01.OELO03Q,BBK01.OELO03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:07,
2002-01,0.464,
2002-04,0.589,
2002-07,0.504,
2002-10,0.592,
2003-01,0.642,
2003-04,0.504,
2003-07,0.404,
2003-10,0.582,
2004-01,0.548,
2004-04,0.429,
2004-07,0.446,
2004-10,0.759,
2005-01,0.523,
2005-04,0.470,
2005-07,0.549,
2005-10,0.730,
2006-01,0.544,
2006-04,0.466,
2006-07,0.493,
2006-10,0.603,
2007-01,0.669,
2007-04,0.522,
2007-07,0.685,
2007-10,0.590,
2008-01,0.569,
2008-04,0.495,
2008-07,0.504,
2008-10,0.580,
2009-01,0.479,
2009-04,0.402,
2009-07,0.422,
2009-10,0.571,
2010-01,0.465,
2010-04,0.348,
2010-07,0.342,
2010-10,0.459,
2011-01,0.527,
2011-04,0.493,
2011-07,0.503,
2011-10,0.493,
2012-01,0.537,
2012-04,0.450,
2012-07,0.445,
2012-10,0.470,
2013-01,0.490,
2013-04,0.468,
2013-07,0.425,
2013-10,0.474,
2014-01,0.453,
2014-04,0.414,
2014-07,0.434,
