"",BBK01.CEBBC0,BBK01.CEBBC0_FLAGS
"",Long-term debt securities debtor: General government                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:50,
1991-01,252.9,
1991-04,258.7,
1991-07,267.8,
1991-10,282.0,
1992-01,299.3,
1992-04,303.7,
1992-07,323.9,
1992-10,368.9,
1993-01,398.7,
1993-04,411.0,
1993-07,434.2,
1993-10,460.8,
1994-01,474.9,
1994-04,462.1,
1994-07,464.6,
1994-10,474.3,
1995-01,569.6,
1995-04,584.8,
1995-07,597.3,
1995-10,614.6,
1996-01,608.6,
1996-04,616.4,
1996-07,630.2,
1996-10,643.5,
1997-01,658.0,
1997-04,675.7,
1997-07,672.9,
1997-10,680.8,
1998-01,697.8,
1998-04,703.5,
1998-07,723.8,
1998-10,737.8,
1999-01,744.3,
1999-04,735.4,
1999-07,725.8,
1999-10,730.6,
2000-01,734.6,
2000-04,740.0,
2000-07,739.6,
2000-10,764.5,
2001-01,752.4,
2001-04,747.8,
2001-07,765.8,
2001-10,783.1,
2002-01,786.5,
2002-04,809.0,
2002-07,848.9,
2002-10,855.2,
2003-01,901.0,
2003-04,926.3,
2003-07,905.4,
2003-10,915.4,
2004-01,965.7,
2004-04,961.0,
2004-07,989.1,
2004-10,1014.0,
2005-01,1024.9,
2005-04,1074.7,
2005-07,1090.7,
2005-10,1090.5,
2006-01,1084.6,
2006-04,1084.9,
2006-07,1106.2,
2006-10,1114.7,
2007-01,1101.7,
2007-04,1087.4,
2007-07,1089.3,
2007-10,1114.8,
2008-01,1128.2,
2008-04,1120.3,
2008-07,1144.0,
2008-10,1212.0,
2009-01,1220.7,
2009-04,1235.7,
2009-07,1239.1,
2009-10,1264.0,
2010-01,1310.3,
2010-04,1373.1,
2010-07,1412.2,
2010-10,1398.8,
2011-01,1379.4,
2011-04,1423.0,
2011-07,1505.1,
2011-10,1495.7,
2012-01,1540.9,
2012-04,1603.8,
2012-07,1616.3,
2012-10,1639.4,
2013-01,1640.9,
2013-04,1612.5,
2013-07,1583.9,
2013-10,1601.3,
2014-01,1634.4,
