"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.N000.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign non-banks arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:01,
1971-12,1.519,
1972-01,1.536,
1972-02,1.538,
1972-03,1.499,
1972-04,1.512,
1972-05,1.523,
1972-06,1.517,
1972-07,1.569,
1972-08,1.545,
1972-09,1.611,
1972-10,1.633,
1972-11,1.677,
1972-12,1.767,
1973-01,1.720,
1973-02,1.685,
1973-03,1.651,
1973-04,1.710,
1973-05,1.625,
1973-06,1.619,
1973-07,1.629,
1973-08,1.664,
1973-09,1.643,
1973-10,1.642,
1973-11,1.635,
1973-12,1.613,
1974-01,1.600,
1974-02,1.604,
1974-03,1.629,
1974-04,1.642,
1974-05,1.662,
1974-06,1.665,
1974-07,1.677,
1974-08,1.709,
1974-09,1.750,
1974-10,1.793,
1974-11,1.829,
1974-12,2.075,
1975-01,2.180,
1975-02,2.190,
1975-03,2.246,
1975-04,2.259,
1975-05,2.295,
1975-06,2.386,
1975-07,2.441,
1975-08,2.463,
1975-09,2.445,
1975-10,2.510,
1975-11,2.532,
1975-12,2.557,
1976-01,2.570,
1976-02,2.589,
1976-03,2.625,
1976-04,2.640,
1976-05,2.715,
1976-06,2.750,
1976-07,2.776,
1976-08,2.885,
1976-09,2.894,
1976-10,2.797,
1976-11,2.854,
1976-12,2.993,
1977-01,2.976,
1977-02,2.990,
1977-03,3.039,
1977-04,3.072,
1977-05,3.079,
1977-06,3.111,
1977-07,3.241,
1977-08,3.338,
1977-09,3.402,
1977-10,3.337,
1977-11,3.360,
1977-12,3.344,
1978-01,3.341,
1978-02,3.359,
1978-03,3.395,
1978-04,3.483,
1978-05,3.514,
1978-06,3.507,
1978-07,3.565,
1978-08,3.591,
1978-09,3.608,
1978-10,3.589,
1978-11,3.325,
1978-12,3.456,
1979-01,3.519,
1979-02,3.628,
1979-03,3.686,
1979-04,3.566,
1979-05,3.606,
1979-06,3.672,
1979-07,3.720,
1979-08,3.704,
1979-09,3.721,
1979-10,4.068,
1979-11,4.030,
1979-12,3.813,
1980-01,4.066,
1980-02,4.112,
1980-03,4.159,
1980-04,4.119,
1980-05,4.122,
1980-06,4.205,
1980-07,4.205,
1980-08,4.040,
1980-09,4.077,
1980-10,4.179,
1980-11,4.157,
1980-12,4.213,
1981-01,4.322,
1981-02,4.291,
1981-03,4.320,
1981-04,4.438,
1981-05,4.468,
1981-06,4.568,
1981-07,4.639,
1981-08,4.735,
1981-09,4.565,
1981-10,4.660,
1981-11,4.688,
1981-12,4.949,
1982-01,5.016,
1982-02,5.250,
1982-03,5.355,
1982-04,5.409,
1982-05,5.440,
1982-06,5.523,
1982-07,5.533,
1982-08,5.646,
1982-09,5.646,
1982-10,5.729,
1982-11,5.781,
1982-12,6.031,
1983-01,6.054,
1983-02,6.283,
1983-03,6.427,
1983-04,6.405,
1983-05,6.260,
1983-06,6.263,
1983-07,6.269,
1983-08,6.327,
1983-09,6.267,
1983-10,6.223,
1983-11,6.363,
1983-12,6.422,
1984-01,6.443,
1984-02,6.452,
1984-03,6.495,
1984-04,6.525,
1984-05,6.684,
1984-06,6.668,
1984-07,6.772,
1984-08,6.778,
1984-09,6.719,
1984-10,6.838,
1984-11,7.031,
1984-12,7.123,
1985-01,7.178,
1985-02,7.223,
1985-03,7.602,
1985-04,7.637,
1985-05,7.550,
1985-06,7.700,
1985-07,7.755,
1985-08,7.649,
1985-09,7.733,
1985-10,7.990,
1985-11,8.263,
1985-12,8.582,
1986-01,8.521,
1986-02,8.594,
1986-03,8.461,
1986-04,8.595,
1986-05,8.465,
1986-06,8.480,
1986-07,8.556,
1986-08,8.703,
1986-09,8.644,
1986-10,8.700,
1986-11,8.800,
1986-12,8.443,
1987-01,8.735,
1987-02,8.842,
1987-03,9.048,
1987-04,9.082,
1987-05,9.218,
1987-06,9.234,
1987-07,9.270,
1987-08,9.398,
1987-09,9.364,
1987-10,9.491,
1987-11,9.533,
1987-12,9.583,
1988-01,9.511,
1988-02,9.500,
1988-03,9.673,
1988-04,9.682,
1988-05,9.655,
1988-06,9.761,
1988-07,9.810,
1988-08,9.942,
1988-09,9.929,
1988-10,10.090,
1988-11,9.754,
1988-12,9.702,
1989-01,9.746,
1989-02,9.803,
1989-03,11.345,
1989-04,11.348,
1989-05,11.631,
1989-06,11.607,
1989-07,11.733,
1989-08,11.890,
1989-09,12.235,
1989-10,12.107,
1989-11,12.088,
1989-12,11.858,
1990-01,11.717,
1990-02,12.305,
1990-03,12.504,
1990-04,12.766,
1990-05,12.902,
1990-06,12.693,
1990-07,12.424,
