"",BBK01.OEAA24R,BBK01.OEAA24R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:41,
2002-01,0.045,
2002-04,0.045,
2002-07,0.044,
2002-10,0.042,
2003-01,0.041,
2003-04,0.041,
2003-07,0.036,
2003-10,0.040,
2004-01,0.040,
2004-04,0.057,
2004-07,0.057,
2004-10,1.132,
2005-01,1.153,
2005-04,1.171,
2005-07,1.169,
2005-10,1.195,
2006-01,1.194,
2006-04,1.185,
2006-07,1.191,
2006-10,1.195,
2007-01,1.190,
2007-04,1.173,
2007-07,1.165,
2007-10,1.159,
2008-01,5.634,
2008-04,1.136,
2008-07,1.133,
2008-10,1.164,
2009-01,1.129,
2009-04,1.113,
2009-07,1.112,
2009-10,1.103,
2010-01,1.136,
2010-04,1.129,
2010-07,1.123,
2010-10,1.105,
2011-01,1.112,
2011-04,1.081,
2011-07,1.078,
2011-10,1.069,
2012-01,1.062,
2012-04,1.104,
2012-07,1.125,
2012-10,1.109,
2013-01,1.092,
2013-04,1.081,
2013-07,1.079,
2013-10,1.061,
2014-01,1.051,
2014-04,1.056,
2014-07,1.025,
