"",BBQFS.M.DE.MOBA.TA_GDP._X.0000,BBQFS.M.DE.MOBA.TA_GDP._X.0000_FLAGS
"",Total assets of German banks in relation to gross domestic product - mortgage banks (FSR 2014),
unit,% des BIP/% of GDP (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:33,
1999-01,36.53,
1999-02,36.93,
1999-03,37.47,
1999-04,38.02,
1999-05,38.69,
1999-06,38.98,
1999-07,38.96,
1999-08,39.27,
1999-09,39.75,
1999-10,39.73,
1999-11,40.13,
1999-12,40.36,
2000-01,40.36,
2000-02,40.31,
2000-03,40.83,
2000-04,40.87,
2000-05,41.35,
2000-06,41.53,
2000-07,41.76,
2000-08,42.08,
2000-09,42.10,
2000-10,42.23,
2000-11,42.20,
2000-12,42.19,
2001-01,42.10,
2001-02,42.43,
2001-03,42.62,
2001-04,42.38,
2001-05,42.40,
2001-06,42.83,
2001-07,42.28,
2001-08,42.23,
2001-09,42.37,
2001-10,42.02,
2001-11,42.04,
2001-12,42.30,
2002-01,41.80,
2002-02,42.06,
2002-03,42.00,
2002-04,41.64,
2002-05,41.87,
2002-06,41.35,
2002-07,40.85,
2002-08,40.58,
2002-09,40.56,
2002-10,40.12,
2002-11,39.68,
2002-12,39.49,
2003-01,39.60,
2003-02,39.55,
2003-03,39.35,
2003-04,39.27,
2003-05,39.28,
2003-06,39.21,
2003-07,39.05,
2003-08,38.88,
2003-09,39.04,
2003-10,38.97,
2003-11,39.02,
2003-12,39.25,
2004-01,38.65,
2004-02,38.70,
2004-03,38.89,
2004-04,38.67,
2004-05,38.84,
2004-06,38.85,
2004-07,38.67,
2004-08,38.55,
2004-09,38.73,
2004-10,38.34,
2004-11,38.35,
2004-12,38.30,
2005-01,38.22,
2005-02,38.24,
2005-03,38.49,
2005-04,38.97,
2005-05,39.08,
2005-06,39.36,
2005-07,39.14,
2005-08,38.94,
2005-09,39.75,
2005-10,39.29,
2005-11,39.23,
2005-12,38.65,
2006-01,38.96,
2006-02,38.77,
2006-03,38.27,
2006-04,37.46,
2006-05,37.80,
2006-06,37.81,
2006-07,36.87,
2006-08,36.96,
2006-09,37.10,
2006-10,36.43,
2006-11,36.45,
2006-12,36.76,
2007-01,35.94,
2007-02,35.70,
2007-03,35.88,
2007-04,34.93,
2007-05,34.77,
2007-06,35.03,
2007-07,34.08,
2007-08,33.91,
2007-09,33.80,
2007-10,33.50,
2007-11,33.56,
2007-12,33.41,
2008-01,32.41,
2008-02,32.09,
2008-03,31.90,
2008-04,31.53,
2008-05,31.50,
2008-06,31.71,
2008-07,31.49,
2008-08,31.20,
2008-09,31.25,
2008-10,32.36,
2008-11,32.99,
2008-12,32.96,
2009-01,33.26,
2009-02,33.15,
2009-03,32.72,
2009-04,33.04,
2009-05,32.64,
2009-06,32.04,
2009-07,32.00,
2009-08,32.12,
2009-09,31.45,
2009-10,31.39,
2009-11,31.15,
2009-12,31.43,
2010-01,30.83,
2010-02,30.82,
2010-03,30.72,
2010-04,30.07,
2010-05,30.66,
2010-06,31.05,
2010-07,29.73,
2010-08,30.12,
2010-09,29.64,
2010-10,28.65,
2010-11,28.94,
2010-12,27.99,
2011-01,26.65,
2011-02,26.10,
2011-03,25.74,
2011-04,24.58,
2011-05,24.23,
2011-06,23.86,
2011-07,23.28,
2011-08,23.09,
2011-09,23.05,
2011-10,22.13,
2011-11,22.03,
2011-12,22.35,
2012-01,21.87,
2012-02,21.83,
2012-03,21.26,
2012-04,21.09,
2012-05,20.63,
2012-06,20.50,
2012-07,20.24,
2012-08,19.90,
2012-09,19.71,
2012-10,19.36,
2012-11,19.20,
2012-12,19.01,
2013-01,18.65,
2013-02,18.22,
2013-03,18.10,
2013-04,17.79,
2013-05,17.63,
2013-06,17.45,
2013-07,17.14,
2013-08,16.92,
2013-09,16.67,
2013-10,16.38,
2013-11,16.17,
2013-12,15.80,
2014-01,15.46,
2014-02,15.34,
2014-03,15.15,
2014-04,14.91,
2014-05,14.66,
2014-06,14.47,
2014-07,14.24,
2014-08,14.25,
2014-09,14.01,
"",Methodology: Annualised quarterly data have been used for the gross domestic product. Within the Bilanzrechtsmodernisierungsgesetz the calculation of total assets (inclusion of derivative trading securities) was adjusted in 2010.,
