"",BBK01.CEB402,BBK01.CEB402_FLAGS
"",Loans\n debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:31,
1991-01,1686.7,
1991-04,1728.7,
1991-07,1768.6,
1991-10,1824.3,
1992-01,1849.2,
1992-04,1886.1,
1992-07,1906.3,
1992-10,1930.1,
1993-01,1949.9,
1993-04,1988.6,
1993-07,2023.6,
1993-10,2088.5,
1994-01,2106.3,
1994-04,2133.3,
1994-07,2162.7,
1994-10,2208.0,
1995-01,2223.6,
1995-04,2268.9,
1995-07,2315.9,
1995-10,2387.2,
1996-01,2424.9,
1996-04,2464.7,
1996-07,2496.7,
1996-10,2583.3,
1997-01,2624.5,
1997-04,2662.1,
1997-07,2702.4,
1997-10,2768.5,
1998-01,2808.7,
1998-04,2843.5,
1998-07,2882.1,
1998-10,2946.2,
1999-01,3007.2,
1999-04,3070.9,
1999-07,3103.1,
1999-10,3188.9,
2000-01,3233.0,
2000-04,3297.2,
2000-07,3296.2,
2000-10,3312.8,
2001-01,3429.8,
2001-04,3417.0,
2001-07,3418.8,
2001-10,3416.6,
2002-01,3443.3,
2002-04,3403.3,
2002-07,3435.5,
2002-10,3439.4,
2003-01,3462.5,
2003-04,3431.4,
2003-07,3446.3,
2003-10,3462.3,
2004-01,3499.2,
2004-04,3450.0,
2004-07,3495.4,
2004-10,3473.3,
2005-01,3487.1,
2005-04,3484.6,
2005-07,3524.8,
2005-10,3516.5,
2006-01,3538.0,
2006-04,3533.4,
2006-07,3583.4,
2006-10,3518.2,
2007-01,3568.4,
2007-04,3598.2,
2007-07,3647.3,
2007-10,3661.7,
2008-01,3758.5,
2008-04,3789.2,
2008-07,3852.2,
2008-10,3832.2,
2009-01,3871.7,
2009-04,3902.0,
2009-07,3872.5,
2009-10,3850.3,
2010-01,3889.1,
2010-04,4004.4,
2010-07,4015.9,
2010-10,4065.8,
2011-01,4046.7,
2011-04,4061.0,
2011-07,4241.3,
2011-10,4246.1,
2012-01,4434.1,
2012-04,4554.8,
2012-07,4539.2,
2012-10,4459.9,
2013-01,4418.5,
2013-04,4421.2,
2013-07,4262.4,
2013-10,4187.0,
2014-01,4149.1,
