"",BBK01.OEAO01U,BBK01.OEAO01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:54,
2002-01,10.288,
2002-04,10.208,
2002-07,9.889,
2002-10,9.880,
2003-01,10.197,
2003-04,10.271,
2003-07,10.197,
2003-10,10.280,
2004-01,10.578,
2004-04,10.627,
2004-07,10.612,
2004-10,10.688,
2005-01,11.692,
2005-04,11.757,
2005-07,11.699,
2005-10,11.630,
2006-01,11.791,
2006-04,11.852,
2006-07,11.734,
2006-10,11.596,
2007-01,11.656,
2007-04,11.622,
2007-07,11.501,
2007-10,11.422,
2008-01,11.618,
2008-04,11.494,
2008-07,11.338,
2008-10,11.137,
2009-01,11.445,
2009-04,11.557,
2009-07,11.587,
2009-10,11.736,
2010-01,12.194,
2010-04,12.326,
2010-07,12.378,
2010-10,12.408,
2011-01,12.624,
2011-04,12.661,
2011-07,12.578,
2011-10,12.511,
2012-01,12.597,
2012-04,12.686,
2012-07,12.662,
2012-10,12.708,
2013-01,12.871,
2013-04,12.918,
2013-07,12.839,
2013-10,12.809,
2014-01,12.867,
2014-04,12.847,
2014-07,12.769,
