"",BBK01.OEXI01L,BBK01.OEXI01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:29,
2002-01,67.351,
2002-04,69.727,
2002-07,75.752,
2002-10,79.549,
2003-01,83.797,
2003-04,88.005,
2003-07,87.993,
2003-10,88.574,
2004-01,100.607,
2004-04,110.198,
2004-07,108.959,
2004-10,111.467,
2005-01,119.193,
2005-04,125.220,
2005-07,127.811,
2005-10,125.220,
2006-01,136.466,
2006-04,140.025,
2006-07,144.496,
2006-10,143.853,
2007-01,152.025,
2007-04,161.903,
2007-07,163.750,
2007-10,170.129,
2008-01,177.828,
2008-04,181.444,
2008-07,188.640,
2008-10,188.658,
2009-01,194.494,
2009-04,193.577,
2009-07,183.092,
2009-10,182.470,
2010-01,179.048,
2010-04,181.450,
2010-07,186.429,
2010-10,213.676,
2011-01,218.796,
2011-04,222.720,
2011-07,227.034,
2011-10,231.855,
2012-01,229.260,
2012-04,230.316,
2012-07,234.726,
2012-10,245.007,
2013-01,251.370,
2013-04,255.072,
2013-07,254.096,
2013-10,258.642,
2014-01,261.449,
2014-04,264.043,
2014-07,278.031,
