"",BBSF2.M.1.T.00000.GEL01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.GEL01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Money market funds / Securities total  / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:41,
2009-09,10008,
2009-10,9727,
2009-11,9604,
2009-12,9135,
2010-01,9306,
2010-02,9172,
2010-03,9447,
2010-04,9140,
2010-05,8903,
2010-06,8564,
2010-07,8410,
2010-08,8265,
2010-09,8231,
2010-10,8012,
2010-11,7907,
2010-12,7682,
2011-01,7836,
2011-02,7692,
2011-03,7692,
2011-04,7732,
2011-05,7625,
2011-06,7368,
2011-07,6319,
2011-08,6699,
2011-09,6677,
2011-10,6563,
2011-11,5583,
2011-12,5533,
2012-01,5430,
2012-02,5300,
2012-03,5148,
2012-04,5100,
2012-05,5125,
2012-06,5194,
2012-07,5130,
2012-08,4743,
2012-09,4621,
2012-10,5023,
2012-11,4948,
2012-12,6857,
2013-01,6697,
2013-02,5932,
2013-03,5746,
2013-04,5738,
2013-05,5591,
2013-06,4251,
2013-07,4312,
2013-08,4342,
2013-09,3915,
2013-10,3628,
2013-11,3561,
2013-12,3026,
2014-01,3260,
2014-02,3215,
2014-03,3003,
2014-04,3006,
2014-05,3065,
2014-06,2922,
2014-07,2865,
2014-08,2666,
2014-09,2636,
2014-10,2585,
2014-11,2570,
